"","DEPT","SP","GR","CALI","BITSIZE","MSFL","LLD","LLS","RHOB","NPHI","DT","MUDWGT","well_name","DEPTH","VSH_linear","VSH_larionov_young","VSH_larionov_old","VSH_clavier","VSH_steiber","PHID","PHIND"
"37",116,-19.69125,56.3217,NA,12.25,1.0269,2.5334,3.3601,2.1411,56.8197,NA,8.9,"WA2",116,0.207490681762744,0.0583134478803361,0.109982879783846,0.101106425519888,0.0802666096232573,0.328322580645161,40.1782659145897
"38",116.5,-17.72029,58.7901,NA,12.25,0.7974,2.7529,3.3871,2.1811,56.0496,NA,8.9,"WA2",116.5,0.221112912643112,0.06333765223959,0.118370651938606,0.108915149288976,0.0864473943122269,0.302516129032258,39.6336295093468
"39",117,-18.67784,61.3205,NA,12.25,0.8006,2.9913,3.4428,2.2011,57.0908,NA,8.9,"WA2",117,0.235077299703428,0.0686735217416437,0.127135108515579,0.117081668695651,0.0929216068493007,0.289612903225807,40.3698112472285
"40",117.5,-20.48567,64.4763,NA,12.25,1.0387,3.2482,3.4341,2.1858,58.0515,NA,8.9,"WA2",117.5,0.252493049262764,0.0756016218302406,0.138306195034614,0.127499764354192,0.101199055088851,0.299483870967742,41.0491555506259
"41",118,-21.91051,65.653,NA,12.25,1.5982,3.5151,3.5502,2.1097,58.5858,133.7583,8.9,"WA2",118,0.258986842439287,0.0782651341491975,0.142541065249552,0.131451551265207,0.104344922074936,0.34858064516129,41.4271497336359
"42",118.5,-23.03324,67.0187,NA,12.25,2.3465,3.804,3.7922,2.0516,57.326,128.313,8.9,"WA2",118.5,0.266523660099843,0.081412590614228,0.147504174151912,0.136084396629024,0.108037605375316,0.386064516129032,40.5365225556572
"43",119,-24.06479,67.3508,NA,12.25,2.9061,4.0925,4.0434,2.006,55.6221,128.7477,8.9,"WA2",119,0.268356403121789,0.0821872038200149,0.14871892170003,0.137218544858869,0.108942393644549,0.415483870967742,39.3318613547403
"44",119.5,-25.54662,67.4434,NA,12.25,3.7874,4.381,4.2332,2.0182,53.7104,130.8264,8.9,"WA2",119.5,0.268867429932485,0.0824038404530898,0.149058182420095,0.137535311369879,0.109195157560384,0.407612903225806,37.9800817300258
"45",120,-26.31627,67.9625,17.1566,12.25,3.9648,5.8147,4.432,2.0304,53.5779,132.9052,8.9,"WA2",120,0.271732160142337,0.08362354000102,0.150964477391066,0.13931533968418,0.11061600382447,0.399741935483871,37.8863508537374
"46",120.5,-26.9177,68.6397,16.5542,12.25,2.8858,6.5933,4.5657,2.0403,54.1019,134.9839,8.9,"WA2",120.5,0.275469388611056,0.0852282484382175,0.153462771768838,0.141648476150912,0.112479584441993,0.393354838709678,38.2568314921606
"47",121,-28.37965,70.9292,16.1264,12.25,2.2964,6.7658,4.3874,2.0388,54.7373,135.9532,8.9,"WA2",121,0.288104333352832,0.0907688245600477,0.162005584580746,0.149629132623631,0.118865155343736,0.394322580645161,38.7061203273307
"48",121.5,-29.10958,71.7672,15.8908,12.25,2.2324,6.9126,3.9172,2.0432,55.556,136.8712,8.9,"WA2",121.5,0.29272896043019,0.0928420846704435,0.165170011730249,0.152586283141062,0.12123580821358,0.391483870967742,39.284999653947
"49",122,-29.06693,72.2968,15.7484,12.25,2.2643,7.4789,4.0175,2.0765,57.5273,137.5179,8.9,"WA2",122,0.29565163644471,0.0941650831814925,0.167180356654021,0.154465199730213,0.122743404396687,0.37,40.6787852896937
"50",122.5,-28.79527,69.9513,15.931,12.25,2.2997,8.1656,4.1891,2.157,58.5903,136.2896,8.9,"WA2",122.5,0.282707647411368,0.0883803302224224,0.158338431134758,0.146202818988522,0.116121508037973,0.318064516129032,41.4302089007913
"51",123,-30.9001,69.1953,16.1135,12.25,2.1707,9.2559,4.239,2.1019,58.6944,135.06129,8.9,"WA2",123,0.278535549475232,0.0865563452225423,0.155522153063543,0.143571980972713,0.11401705115346,0.353612903225806,41.5039614581869
"52",123.5,-34.23644,65.812,16.0516,12.25,2.1835,9.8694,4.2449,2.0589,58.8541,135.2068,8.9,"WA2",123.5,0.25986430748141,0.0786284515908563,0.143116225688031,0.131988357433775,0.104772529751826,0.381354838709677,41.6170068501028
