"","DEPT","SP","GR","CALI","SFL_A","ILM","ILD","LLD","LLS","RHOB","NPHI","DT","well_name","DEPTH","VSH_linear","VSH_larionov_young","VSH_larionov_old","VSH_clavier","VSH_steiber","PHID","PHIND"
"45",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",47,NA,NA,NA,NA,NA,NA,NA
"46",47.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",47.5,NA,NA,NA,NA,NA,NA,NA
"47",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",48,NA,NA,NA,NA,NA,NA,NA
"48",48.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",48.5,NA,NA,NA,NA,NA,NA,NA
"49",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",49,NA,NA,NA,NA,NA,NA,NA
"50",49.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",49.5,NA,NA,NA,NA,NA,NA,NA
"51",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",50,NA,NA,NA,NA,NA,NA,NA
"52",50.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",50.5,NA,NA,NA,NA,NA,NA,NA
"53",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",51,NA,NA,NA,NA,NA,NA,NA
"54",51.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",51.5,NA,NA,NA,NA,NA,NA,NA
"55",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",52,NA,NA,NA,NA,NA,NA,NA
"56",52.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",52.5,NA,NA,NA,NA,NA,NA,NA
"57",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",53,NA,NA,NA,NA,NA,NA,NA
"58",53.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",53.5,NA,NA,NA,NA,NA,NA,NA
"59",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",54,NA,NA,NA,NA,NA,NA,NA
"60",54.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",54.5,NA,NA,NA,NA,NA,NA,NA
"61",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",55,NA,NA,NA,NA,NA,NA,NA
"62",55.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",55.5,NA,NA,NA,NA,NA,NA,NA
"63",56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",56,NA,NA,NA,NA,NA,NA,NA
"64",56.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",56.5,NA,NA,NA,NA,NA,NA,NA
"65",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",57,NA,NA,NA,NA,NA,NA,NA
"66",57.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",57.5,NA,NA,NA,NA,NA,NA,NA
"67",58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",58,NA,NA,NA,NA,NA,NA,NA
"68",58.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",58.5,NA,NA,NA,NA,NA,NA,NA
"69",59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",59,NA,NA,NA,NA,NA,NA,NA
"70",59.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",59.5,NA,NA,NA,NA,NA,NA,NA
"71",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",60,NA,NA,NA,NA,NA,NA,NA
"72",60.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",60.5,NA,NA,NA,NA,NA,NA,NA
"73",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",61,NA,NA,NA,NA,NA,NA,NA
"74",61.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",61.5,NA,NA,NA,NA,NA,NA,NA
"75",62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",62,NA,NA,NA,NA,NA,NA,NA
"76",62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",62.5,NA,NA,NA,NA,NA,NA,NA
"77",63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",63,NA,NA,NA,NA,NA,NA,NA
"78",63.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",63.5,NA,NA,NA,NA,NA,NA,NA
"79",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",64,NA,NA,NA,NA,NA,NA,NA
"80",64.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",64.5,NA,NA,NA,NA,NA,NA,NA
"81",65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",65,NA,NA,NA,NA,NA,NA,NA
"82",65.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",65.5,NA,NA,NA,NA,NA,NA,NA
"83",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",66,NA,NA,NA,NA,NA,NA,NA
"84",66.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",66.5,NA,NA,NA,NA,NA,NA,NA
"85",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",67,NA,NA,NA,NA,NA,NA,NA
"86",67.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",67.5,NA,NA,NA,NA,NA,NA,NA
"87",68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",68,NA,NA,NA,NA,NA,NA,NA
"88",68.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",68.5,NA,NA,NA,NA,NA,NA,NA
"89",69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",69,NA,NA,NA,NA,NA,NA,NA
"90",69.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",69.5,NA,NA,NA,NA,NA,NA,NA
"91",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",70,NA,NA,NA,NA,NA,NA,NA
"92",70.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",70.5,NA,NA,NA,NA,NA,NA,NA
"93",71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",71,NA,NA,NA,NA,NA,NA,NA
"94",71.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",71.5,NA,NA,NA,NA,NA,NA,NA
"95",72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",72,NA,NA,NA,NA,NA,NA,NA
"96",72.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",72.5,NA,NA,NA,NA,NA,NA,NA
"97",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",73,NA,NA,NA,NA,NA,NA,NA
"98",73.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",73.5,NA,NA,NA,NA,NA,NA,NA
"99",74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",74,NA,NA,NA,NA,NA,NA,NA
"100",74.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",74.5,NA,NA,NA,NA,NA,NA,NA
"101",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",75,NA,NA,NA,NA,NA,NA,NA
"102",75.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",75.5,NA,NA,NA,NA,NA,NA,NA
"103",76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",76,NA,NA,NA,NA,NA,NA,NA
"104",76.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",76.5,NA,NA,NA,NA,NA,NA,NA
"105",77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",77,NA,NA,NA,NA,NA,NA,NA
"106",77.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",77.5,NA,NA,NA,NA,NA,NA,NA
"107",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",78,NA,NA,NA,NA,NA,NA,NA
"108",78.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",78.5,NA,NA,NA,NA,NA,NA,NA
"109",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",79,NA,NA,NA,NA,NA,NA,NA
"110",79.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",79.5,NA,NA,NA,NA,NA,NA,NA
"111",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",80,NA,NA,NA,NA,NA,NA,NA
"112",80.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",80.5,NA,NA,NA,NA,NA,NA,NA
"113",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",81,NA,NA,NA,NA,NA,NA,NA
"114",81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",81.5,NA,NA,NA,NA,NA,NA,NA
"115",82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",82,NA,NA,NA,NA,NA,NA,NA
"116",82.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",82.5,NA,NA,NA,NA,NA,NA,NA
"117",83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",83,NA,NA,NA,NA,NA,NA,NA
"118",83.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",83.5,NA,NA,NA,NA,NA,NA,NA
"119",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",84,NA,NA,NA,NA,NA,NA,NA
"120",84.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",84.5,NA,NA,NA,NA,NA,NA,NA
"121",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",85,NA,NA,NA,NA,NA,NA,NA
"122",85.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",85.5,NA,NA,NA,NA,NA,NA,NA
"123",86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",86,NA,NA,NA,NA,NA,NA,NA
"124",86.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",86.5,NA,NA,NA,NA,NA,NA,NA
"125",87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",87,NA,NA,NA,NA,NA,NA,NA
"126",87.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",87.5,NA,NA,NA,NA,NA,NA,NA
"127",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",88,NA,NA,NA,NA,NA,NA,NA
"128",88.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",88.5,NA,NA,NA,NA,NA,NA,NA
"129",89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",89,NA,NA,NA,NA,NA,NA,NA
"130",89.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",89.5,NA,NA,NA,NA,NA,NA,NA
"131",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",90,NA,NA,NA,NA,NA,NA,NA
"132",90.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",90.5,NA,NA,NA,NA,NA,NA,NA
"133",91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",91,NA,NA,NA,NA,NA,NA,NA
"134",91.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",91.5,NA,NA,NA,NA,NA,NA,NA
"135",92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",92,NA,NA,NA,NA,NA,NA,NA
"136",92.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",92.5,NA,NA,NA,NA,NA,NA,NA
"137",93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",93,NA,NA,NA,NA,NA,NA,NA
"138",93.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",93.5,NA,NA,NA,NA,NA,NA,NA
"139",94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",94,NA,NA,NA,NA,NA,NA,NA
"140",94.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",94.5,NA,NA,NA,NA,NA,NA,NA
"141",95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",95,NA,NA,NA,NA,NA,NA,NA
"142",95.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",95.5,NA,NA,NA,NA,NA,NA,NA
"143",96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",96,NA,NA,NA,NA,NA,NA,NA
"144",96.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",96.5,NA,NA,NA,NA,NA,NA,NA
"145",97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",97,NA,NA,NA,NA,NA,NA,NA
"146",97.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",97.5,NA,NA,NA,NA,NA,NA,NA
"147",98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",98,NA,NA,NA,NA,NA,NA,NA
"148",98.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",98.5,NA,NA,NA,NA,NA,NA,NA
"149",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",99,NA,NA,NA,NA,NA,NA,NA
"150",99.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",99.5,NA,NA,NA,NA,NA,NA,NA
"151",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",100,NA,NA,NA,NA,NA,NA,NA
"152",100.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",100.5,NA,NA,NA,NA,NA,NA,NA
"153",101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",101,NA,NA,NA,NA,NA,NA,NA
"154",101.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",101.5,NA,NA,NA,NA,NA,NA,NA
"155",102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",102,NA,NA,NA,NA,NA,NA,NA
"156",102.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",102.5,NA,NA,NA,NA,NA,NA,NA
"157",103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",103,NA,NA,NA,NA,NA,NA,NA
"158",103.5,NA,71.4164,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",103.5,0.473376504061872,0.196466684187278,0.306084764978946,0.284659906695377,0.230550199725022,NA,NA
"159",104,NA,75.2456,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",104,0.50891161879096,0.223132503609121,0.3382042978603,0.314888922161034,0.256743812378333,NA,NA
"160",104.5,NA,76.8253,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",104.5,0.523571292022324,0.234861221732639,0.351922888158993,0.327821697686915,0.268105232744905,NA,NA
"161",105,-10.45698,77.2235,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",105,0.527266602448816,0.237887962489179,0.35542519768742,0.331125759423555,0.271023182598741,NA,NA
"162",105.5,-10.76008,76.0432,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",105.5,0.516313375687419,0.228999286883215,0.345096049123119,0.32138411001328,0.262437936496406,NA,NA
"163",106,-10.99008,73.9905,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",106,0.497264245319614,0.214123136369954,0.327501650117805,0.304808856507734,0.247953781940344,NA,NA
"164",106.5,-11.03548,73.1645,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",106.5,0.489598935394244,0.208339093342118,0.320551781766761,0.298267367537988,0.24227950293445,NA,NA
"165",107,-11.00598,73.8496,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",107,0.495956688214911,0.213128426703376,0.32631090334218,0.303687857277599,0.246979728062303,NA,NA
"166",107.5,-10.47858,76.2379,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",107.5,0.518120198741256,0.23044840247062,0.346789141552462,0.322980326422834,0.263840949817401,NA,NA
"167",108,-9.97389,77.5127,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",108,0.529950388926318,0.240104239511302,0.35798008431815,0.333536666873202,0.273156332870312,NA,NA
"168",108.5,-8.58979,78.0038,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",108.5,0.534507814718509,0.243902895587168,0.362340456629313,0.3376525937196,0.276805873142656,NA,NA
"169",109,-6.80809,77.9698,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",109,0.534192293486714,0.243638472824967,0.362037689461907,0.337366746810425,0.276552097215723,NA,NA
"170",109.5,-6.52999,77.4669,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB20",109.5,0.529525363267018,0.239752234931699,0.35757483850771,0.333154221909762,0.272817724041516,NA,NA
"171",110,-6.49359,75.7613,NA,NA,NA,62.923,NA,NA,NA,NA,NA,"SB20",110,0.51369733347439,0.226913021940285,0.342652176864963,0.319080457551145,0.260415666969634,NA,NA
"172",110.5,-6.69019,74.496,NA,NA,NA,33.6561,NA,NA,NA,NA,158.7549,"SB20",110.5,0.501955303633505,0.217719383951405,0.331791440290719,0.308848157796106,0.251469350751993,NA,NA
"173",111,-6.7975,73.2235,NA,NA,16.8389,29.8468,NA,NA,NA,NA,158.22951,"SB20",111,0.49014645753177,0.208748478964879,0.321045755483577,0.298732213449343,0.242681951847087,NA,NA
"174",111.5,-5.9139,72.1723,NA,NA,13.0111,27.2893,NA,NA,NA,NA,157.8607,"SB20",111.5,0.480391283447571,0.201539903887079,0.3123005765103,0.290504906726881,0.235576292968494,NA,NA
"175",112,-5.4078,72.211,NA,NA,17.482,24.3606,NA,NA,NA,NA,157.9353,"SB20",112,0.480750420849643,0.201802102882403,0.312620438416357,0.290805746654,0.235835476748685,NA,NA
"176",112.5,-4.9366,73.2845,NA,NA,24.6008,26.7776,NA,NA,NA,NA,158.0576,"SB20",112.5,0.490712539741755,0.209172346920109,0.321556868444628,0.299213204052187,0.243098502192922,NA,NA
"177",113,-5,74.3627,NA,75.9976,14.9059,51.4301,NA,NA,NA,NA,158.09891,"SB20",113,0.500718274804145,0.216766851669212,0.330657515908296,0.307780324607012,0.250539093320258,NA,NA
"178",113.5,-5.3483,74.4958,NA,78.3018,10.6216,59.2416,NA,NA,NA,NA,158.4902,"SB20",113.5,0.50195344762626,0.217717952530875,0.331789737521813,0.308846554207859,0.251467953289564,NA,NA
"179",114,-5.797,73.2152,NA,89.2652,9.838,40.5533,NA,NA,NA,NA,159.3813,"SB20",114,0.490069433231067,0.208690852675581,0.320976241600956,0.298666797621249,0.242625309776961,NA,NA
"180",114.5,-6.23701,71.94,NA,99.4855,10.0952,28.6784,NA,NA,NA,NA,160.9671,"SB20",114.5,0.478235531031513,0.199971097857405,0.310383921867396,0.28870235831881,0.234024349816309,NA,NA
"181",115,-6.2612,71.2716,NA,136.1248,10.7624,23.2805,NA,NA,NA,NA,162.3222,"SB20",115,0.472032754815875,0.195505232791162,0.304900948890032,0.283546957488985,0.22959523128158,NA,NA
"182",115.5,-5.96681,71.6069,NA,164.8324,10.85,20.1502,NA,NA,NA,NA,163.455,"SB20",115.5,0.475144350963546,0.197736634632318,0.307645565444286,0.286127391028999,0.23181037808118,NA,NA
"183",116,-5.62441,72.5626,NA,197.45081,10.9373,21.9804,NA,NA,NA,NA,163.9921,"SB20",116,0.484013281587851,0.204195348581338,0.31553377805662,0.293546108461579,0.238198626427075,NA,NA
"184",116.5,-5.62151,73.8432,NA,254.6096,11.0604,25.5073,NA,NA,NA,NA,163.24409,"SB20",116.5,0.495897295983043,0.21308332386695,0.326256868132263,0.303636989368293,0.246935544541004,NA,NA
"185",117,-6.05471,74.997,NA,243.94611,11.2341,26.3212,NA,NA,NA,NA,162.2981,"SB20",117,0.506604601784365,0.221326563816797,0.336070657484176,0.312878759822058,0.254986384421723,NA,NA
"186",117.5,-6.75641,75.4846,NA,149.2507,11.3294,26.9191,NA,NA,NA,NA,161.319,"SB20",117.5,0.511129547449753,0.224878808069052,0.340261988718707,0.316827841773065,0.258441106280189,NA,NA
"187",118,-7.02451,73.4205,NA,114.1764,11.2559,26.7486,NA,NA,NA,NA,160.5562,"SB20",118,0.491974624668935,0.210119582332782,0.322697844012736,0.300286995793298,0.244028888909347,NA,NA
