"","DEPT","SP","GR","CALI","BITSIZE","LL8","ILM","ILD","RHOB","NPHI","DT","MUDWGT","well_name","DEPTH","VSH_linear","VSH_larionov_young","VSH_larionov_old","VSH_clavier","VSH_steiber","PHID","PHIND"
"45",42,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",42,NA,NA,NA,NA,NA,NA,NA
"46",42.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",42.5,NA,NA,NA,NA,NA,NA,NA
"47",43,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",43,NA,NA,NA,NA,NA,NA,NA
"48",43.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",43.5,NA,NA,NA,NA,NA,NA,NA
"49",44,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",44,NA,NA,NA,NA,NA,NA,NA
"50",44.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",44.5,NA,NA,NA,NA,NA,NA,NA
"51",45,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",45,NA,NA,NA,NA,NA,NA,NA
"52",45.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",45.5,NA,NA,NA,NA,NA,NA,NA
"53",46,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",46,NA,NA,NA,NA,NA,NA,NA
"54",46.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",46.5,NA,NA,NA,NA,NA,NA,NA
"55",47,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",47,NA,NA,NA,NA,NA,NA,NA
"56",47.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",47.5,NA,NA,NA,NA,NA,NA,NA
"57",48,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",48,NA,NA,NA,NA,NA,NA,NA
"58",48.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",48.5,NA,NA,NA,NA,NA,NA,NA
"59",49,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",49,NA,NA,NA,NA,NA,NA,NA
"60",49.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",49.5,NA,NA,NA,NA,NA,NA,NA
"61",50,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",50,NA,NA,NA,NA,NA,NA,NA
"62",50.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",50.5,NA,NA,NA,NA,NA,NA,NA
"63",51,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",51,NA,NA,NA,NA,NA,NA,NA
"64",51.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",51.5,NA,NA,NA,NA,NA,NA,NA
"65",52,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",52,NA,NA,NA,NA,NA,NA,NA
"66",52.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",52.5,NA,NA,NA,NA,NA,NA,NA
"67",53,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",53,NA,NA,NA,NA,NA,NA,NA
"68",53.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",53.5,NA,NA,NA,NA,NA,NA,NA
"69",54,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",54,NA,NA,NA,NA,NA,NA,NA
"70",54.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",54.5,NA,NA,NA,NA,NA,NA,NA
"71",55,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",55,NA,NA,NA,NA,NA,NA,NA
"72",55.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",55.5,NA,NA,NA,NA,NA,NA,NA
"73",56,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",56,NA,NA,NA,NA,NA,NA,NA
"74",56.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",56.5,NA,NA,NA,NA,NA,NA,NA
