"","DEPT","SP","GR","CALI","LL8","ILM","ILD","LLD","LLS","RHOB","NPHI","DT","well_name","DEPTH","VSH_linear","VSH_larionov_young","VSH_larionov_old","VSH_clavier","VSH_steiber","PHID","PHIND"
"1",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB16",78,NA,NA,NA,NA,NA,NA,NA
"2",78.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB16",78.5,NA,NA,NA,NA,NA,NA,NA
"3",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB16",79,NA,NA,NA,NA,NA,NA,NA
"4",79.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB16",79.5,NA,NA,NA,NA,NA,NA,NA
"5",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB16",80,NA,NA,NA,NA,NA,NA,NA
"6",80.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB16",80.5,NA,NA,NA,NA,NA,NA,NA
"7",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB16",81,NA,NA,NA,NA,NA,NA,NA
"8",81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB16",81.5,NA,NA,NA,NA,NA,NA,NA
"9",82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB16",82,NA,NA,NA,NA,NA,NA,NA
"10",82.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB16",82.5,NA,NA,NA,NA,NA,NA,NA
"11",83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB16",83,NA,NA,NA,NA,NA,NA,NA
"12",83.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB16",83.5,NA,NA,NA,NA,NA,NA,NA
"13",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB16",84,NA,NA,NA,NA,NA,NA,NA
"14",84.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB16",84.5,NA,NA,NA,NA,NA,NA,NA
"15",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB16",85,NA,NA,NA,NA,NA,NA,NA
"16",85.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB16",85.5,NA,NA,NA,NA,NA,NA,NA
"17",86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB16",86,NA,NA,NA,NA,NA,NA,NA
"18",86.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB16",86.5,NA,NA,NA,NA,NA,NA,NA
"19",87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB16",87,NA,NA,NA,NA,NA,NA,NA
"20",87.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB16",87.5,NA,NA,NA,NA,NA,NA,NA
"21",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB16",88,NA,NA,NA,NA,NA,NA,NA
"22",88.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB16",88.5,NA,NA,NA,NA,NA,NA,NA
"23",89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB16",89,NA,NA,NA,NA,NA,NA,NA
"24",89.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB16",89.5,NA,NA,NA,NA,NA,NA,NA
"25",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB16",90,NA,NA,NA,NA,NA,NA,NA
"26",90.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB16",90.5,NA,NA,NA,NA,NA,NA,NA
"27",91,-2.11719,NA,NA,6.5719,NA,NA,NA,NA,NA,NA,NA,"SB16",91,NA,NA,NA,NA,NA,NA,NA
"28",91.5,-3.03419,NA,NA,6.465,NA,NA,NA,NA,NA,NA,150.1628,"SB16",91.5,NA,NA,NA,NA,NA,NA,NA
"29",92,-3.86918,NA,NA,6.3599,NA,2.8636,NA,NA,NA,NA,171.55559,"SB16",92,NA,NA,NA,NA,NA,NA,NA
"30",92.5,-3.85637,NA,NA,6.2564,NA,2.5681,NA,NA,NA,NA,174.22223,"SB16",92.5,NA,NA,NA,NA,NA,NA,NA
"31",93,-3.41806,NA,NA,6.0532,NA,2.5761,NA,NA,NA,NA,176.88892,"SB16",93,NA,NA,NA,NA,NA,NA,NA
"32",93.5,-2.65975,NA,NA,6.1845,NA,2.7144,NA,NA,NA,NA,179.55556,"SB16",93.5,NA,NA,NA,NA,NA,NA,NA
"33",94,-1.61975,NA,NA,6.2366,NA,2.9653,NA,NA,NA,NA,180.22224,"SB16",94,NA,NA,NA,NA,NA,NA,NA
"34",94.5,-0.68254,NA,NA,5.942,2.9473,2.6831,NA,NA,NA,NA,180.88887,"SB16",94.5,NA,NA,NA,NA,NA,NA,NA
"35",95,-0.56783,NA,NA,5.5617,2.733,2.4782,NA,NA,NA,NA,181.55556,"SB16",95,NA,NA,NA,NA,NA,NA,NA
"36",95.5,-0.57432,NA,NA,5.1406,2.5343,2.2134,NA,NA,NA,NA,182.22224,"SB16",95.5,NA,NA,NA,NA,NA,NA,NA
"37",96,-0.36102,NA,NA,4.7556,2.5143,2.2269,NA,NA,NA,NA,182.40001,"SB16",96,NA,NA,NA,NA,NA,NA,NA
"38",96.5,-0.09781,NA,NA,4.2346,2.7078,2.6187,NA,NA,NA,NA,182.57782,"SB16",96.5,NA,NA,NA,NA,NA,NA,NA
"39",97,0,NA,NA,4.5395,2.8895,2.6067,NA,NA,NA,NA,182.75558,"SB16",97,NA,NA,NA,NA,NA,NA,NA
"40",97.5,-0.36811,NA,NA,4.6693,2.9709,2.8668,NA,NA,NA,NA,182.93338,"SB16",97.5,NA,NA,NA,NA,NA,NA,NA
"41",98,-1.17782,NA,NA,4.8029,3.0456,2.9888,NA,NA,NA,NA,183.11115,"SB16",98,NA,NA,NA,NA,NA,NA,NA
"42",98.5,-2.30553,NA,NA,4.9403,3.0648,2.9966,NA,NA,NA,NA,182.6667,"SB16",98.5,NA,NA,NA,NA,NA,NA,NA
"43",99,-3.40794,NA,NA,5.0344,3.0841,2.9935,NA,NA,NA,NA,182.22224,"SB16",99,NA,NA,NA,NA,NA,NA,NA
"44",99.5,-4.45375,NA,NA,4.9417,3.1036,2.9872,NA,NA,NA,NA,181.77779,"SB16",99.5,NA,NA,NA,NA,NA,NA,NA
"45",100,-5.62725,NA,NA,4.8507,3.1276,3.2845,NA,NA,NA,NA,181.33337,"SB16",100,NA,NA,NA,NA,NA,NA,NA
"46",100.5,-6.80066,NA,NA,4.7614,3.1519,3.6867,NA,NA,NA,NA,180.88892,"SB16",100.5,NA,NA,NA,NA,NA,NA,NA
"47",101,-7.83837,NA,NA,4.6738,3.1763,3.7082,NA,NA,NA,NA,180.44446,"SB16",101,NA,NA,NA,NA,NA,NA,NA
"48",101.5,-8.40228,NA,NA,4.6357,3.1918,3.7299,NA,NA,NA,NA,178.37038,"SB16",101.5,NA,NA,NA,NA,NA,NA,NA
"49",102,-8.69949,NA,NA,4.7019,3.1903,3.7499,NA,NA,NA,NA,176.29633,"SB16",102,NA,NA,NA,NA,NA,NA,NA
"50",102.5,-9.0008,NA,NA,4.769,3.1886,3.7583,NA,NA,NA,NA,174.22223,"SB16",102.5,NA,NA,NA,NA,NA,NA,NA
"51",103,-8.99341,NA,NA,4.8371,3.1661,3.7667,NA,NA,NA,NA,162.1205,"SB16",103,NA,NA,NA,NA,NA,NA,NA
"52",103.5,-8.79952,NA,NA,4.8301,3.1437,3.7751,NA,NA,NA,NA,154.53391,"SB16",103.5,NA,NA,NA,NA,NA,NA,NA
"53",104,-8.55703,NA,NA,4.659,3.1447,3.7836,NA,NA,NA,NA,151.2863,"SB16",104,NA,NA,NA,NA,NA,NA,NA
"54",104.5,-8.31744,NA,NA,4.479,3.1558,3.787,NA,NA,NA,NA,151.21291,"SB16",104.5,NA,NA,NA,NA,NA,NA,NA
"55",105,-8.29375,NA,16.3133,4.2633,3.1669,3.7605,NA,NA,NA,NA,153.99159,"SB16",105,NA,NA,NA,NA,NA,NA,NA
"56",105.5,-8.20396,NA,16.3187,4.0581,3.1776,3.7325,NA,NA,NA,NA,158.93159,"SB16",105.5,NA,NA,NA,NA,NA,NA,NA
"57",106,-7.81186,NA,16.3111,3.9475,3.1152,3.6882,NA,NA,NA,NA,165.03571,"SB16",106,NA,NA,NA,NA,NA,NA,NA
"58",106.5,-7.36687,NA,16.0045,4.0943,3.054,3.6444,NA,NA,NA,NA,163.4615,"SB16",106.5,NA,NA,NA,NA,NA,NA,NA
"59",107,-7.30728,NA,15.2345,4.1038,2.994,3.5908,NA,NA,NA,NA,156.621,"SB16",107,NA,NA,NA,NA,NA,NA,NA
"60",107.5,-7.48809,NA,14.4644,3.957,2.8782,3.5345,NA,NA,NA,NA,153.36591,"SB16",107.5,NA,NA,NA,NA,NA,NA,NA
"61",108,-7.7676,NA,12.5213,3.8154,2.7752,3.4792,NA,NA,NA,NA,149.334,"SB16",108,NA,NA,NA,NA,NA,NA,NA
"62",108.5,-7.70341,NA,12.3581,3.6788,2.6758,3.4247,NA,NA,NA,NA,147.1889,"SB16",108.5,NA,NA,NA,NA,NA,NA,NA
"63",109,-7.93012,NA,12.1986,3.5472,2.5799,3.3364,NA,NA,NA,NA,145.0439,"SB16",109,NA,NA,NA,NA,NA,NA,NA
"64",109.5,-7.86062,NA,12.2551,3.4203,2.4875,3.1933,NA,NA,NA,NA,143.94231,"SB16",109.5,NA,NA,NA,NA,NA,NA,NA
"65",110,-7.79114,NA,12.3214,3.4035,2.3984,3.0563,NA,NA,NA,NA,144.73399,"SB16",110,NA,NA,NA,NA,NA,NA,NA
"66",110.5,-7.72165,NA,12.2984,3.4199,2.3125,2.9251,NA,NA,NA,NA,146.9816,"SB16",110.5,NA,NA,NA,NA,NA,NA,NA
"67",111,-7.65205,NA,12.3774,3.4365,2.2889,2.8061,NA,NA,NA,NA,150.26711,"SB16",111,NA,NA,NA,NA,NA,NA,NA
"68",111.5,-7.58256,NA,12.7034,3.4531,2.3169,2.8846,NA,NA,NA,NA,157.9084,"SB16",111.5,NA,NA,NA,NA,NA,NA,NA
"69",112,-7.46667,NA,13.5095,3.5184,2.3453,2.9653,NA,NA,NA,NA,164.4893,"SB16",112,NA,NA,NA,NA,NA,NA,NA
"70",112.5,-7.16108,NA,14.1724,3.6173,2.374,3.0483,NA,NA,NA,NA,167.61659,"SB16",112.5,NA,NA,NA,NA,NA,NA,NA
"71",113,-6.86079,NA,14.7175,3.719,2.403,3.1489,NA,NA,NA,NA,171.0529,"SB16",113,NA,NA,NA,NA,NA,NA,NA
"72",113.5,-6.6313,NA,15.2149,3.8475,2.5238,3.3173,NA,NA,NA,NA,174.9028,"SB16",113.5,NA,NA,NA,NA,NA,NA,NA
"73",114,-6.91131,59.0065,15.7914,4.067,2.6626,3.5052,NA,NA,NA,NA,178.0594,"SB16",114,0.224754179925619,0.0647106355150393,0.120639690024263,0.111028726908477,0.0881219041802111,NA,NA
"74",114.5,-7.11532,60.1748,16.2498,4.299,2.8089,3.7408,NA,NA,NA,NA,180.7321,"SB16",114.5,0.233117968579416,0.0679132758394177,0.125895118503554,0.11592586767089,0.0920046076894844,NA,NA
"75",115,-6.94843,62.0244,16.1646,4.5443,2.9634,4.0988,NA,NA,NA,NA,183.9673,"SB16",115,0.246359142502264,0.0731261359640299,0.134340883180778,0.123800655563396,0.0982574638616981,NA,NA
"76",115.5,-6.77133,63.259,16.1967,4.8035,3.126,4.5189,NA,NA,NA,NA,185.4115,"SB16",115.5,0.255197568824252,0.076705527511623,0.140065292417616,0.129141125208175,0.102505250003091,NA,NA
"77",116,-6.77134,64.1884,15.7318,5.0776,3.1908,4.9821,NA,NA,NA,NA,185.7524,"SB16",116,0.261851086905942,0.0794541122071366,0.144421107478069,0.13320630374709,0.10574297006472,NA,NA
"78",116.5,-6.91355,65.1175,15.0024,5.3673,3.2569,5.4927,NA,NA,NA,NA,186.26579,"SB16",116.5,0.268502457305877,0.0822490907487895,0.148815859692323,0.137309054805628,0.10901461350807,NA,NA
"79",117,-7.12486,66.1359,14.4626,5.6735,3.3245,5.6292,NA,NA,NA,NA,184.37399,"SB16",117,0.275793120975334,0.0853679793613003,0.153679792923644,0.1418511672317,0.112641550092849,NA,NA
"80",117.5,-7.48987,68.1575,14.1052,5.5211,3.3934,5.6848,NA,NA,NA,NA,176.4713,"SB16",117.5,0.290265632438585,0.0917346933068458,0.163481940729278,0.151008722680786,0.119970813519874,NA,NA
"81",118,-7.89368,69.8776,13.2277,5.3161,3.2802,5.3153,NA,NA,NA,NA,174.2771,"SB16",118,0.302579723736537,0.0973410991061123,0.171978464448079,0.158950390950256,0.126346500779465,NA,NA
"82",118.5,-7.33849,71.6608,13.0896,5.1188,3.1301,4.9344,NA,NA,NA,NA,175.0938,"SB16",118.5,0.315345544097276,0.10334314591329,0.18094114326366,0.167331273209437,0.133096002182754,NA,NA
"83",119,-6.4095,74.6894,13.2799,4.9288,3.0027,4.5808,NA,NA,NA,NA,175.2057,"SB16",119,0.337027107323237,0.113998348979094,0.196531644292347,0.181917400575054,0.144898952265137,NA,NA
"84",119.5,-4.83051,77.5401,13.5087,4.8523,2.9935,4.654,NA,NA,NA,NA,175.55521,"SB16",119.5,0.357435095267583,0.124583689928313,0.211640724379911,0.19606149750183,0.156417851531722,NA,NA
"85",120,-1.14512,79.531,13.8796,4.8094,2.9844,4.7755,NA,NA,NA,NA,171.4911,"SB16",120,0.371687827297751,0.132311921646901,0.222449150322122,0.206184348447967,0.164709659387782,NA,NA
"86",120.5,0,79.8098,14.3606,4.9333,2.979,4.8466,NA,NA,NA,NA,157.81841,"SB16",120.5,0.373683739543474,0.133416887134501,0.223979850657675,0.207618270200301,0.165887572018187,NA,NA
"87",121,0,81.1106,14.5178,5.4765,2.9856,4.8396,NA,NA,NA,NA,149.8481,"SB16",121,0.382996087639734,0.138647757437221,0.231177901983082,0.214362266850687,0.17143900903196,NA,NA
"88",121.5,0,82.8883,14.5634,6.0795,2.9922,4.8327,NA,NA,NA,NA,148.85789,"SB16",121.5,0.395722533834936,0.146001431507688,0.241166391956939,0.223723559475954,0.179177129824627,NA,NA
