"","DEPT","SP","GR","CALI","BITSIZE","LL8","ILM","ILD","RHOB","NPHI","DT","MUDWGT","well_name","DEPTH","VSH_linear","VSH_larionov_young","VSH_larionov_old","VSH_clavier","VSH_steiber","PHID","PHIND"
"25",113,0.50042,67.4492,13.2112,12.25,5.8327,3.3976,2.9712,2.2603,39.3173,144.2272,9,"WA1",113,0.187042142193714,0.0510934871205131,0.0976855038856227,0.0896720091942802,0.0712293014896258,0.25141935483871,27.8020978613304
"26",113.5,-0.71472,66.5118,12.7873,12.25,5.1744,3.3719,2.9776,2.3074,38.2452,143.787,9,"WA1",113.5,0.182255681942933,0.0494574752616123,0.0948570156784225,0.0870446653179107,0.0691544176838713,0.221032258064516,27.0438919009367
"27",114,-2.41777,63.5625,12.8964,12.25,6.0517,3.3336,3.3151,2.3573,37.3958,143.5484,9,"WA1",114,0.167196254571876,0.0444392236741434,0.0860793051091447,0.0788983202597964,0.0627235086731278,0.188838709677419,26.4431609088085
"28",114.5,-3.9769,59.6142,12.9686,12.25,8.21,3.2956,3.4569,2.3555,37.5981,143.481,9,"WA1",114.5,0.147035831051331,0.0380175108886756,0.0746116013413914,0.0682738278390025,0.0543384054160083,0.19,26.5862109335836
"29",115,-4.52264,57.026,12.8399,12.25,10.0633,3.2581,3.6046,2.3351,38.8659,143.40331,9,"WA1",115,0.133820217203378,0.0339845530590597,0.0672663120382487,0.0614812038359425,0.0489760640907167,0.20316129032258,27.482716908267
"30",115.5,-2.99568,56.6819,12.9744,12.25,7.1579,3.2236,3.956,2.3116,40.4098,143.2654,9,"WA1",115.5,0.132063207418554,0.033458594212343,0.0662998549621067,0.0605882704883594,0.0482709464847919,0.218322580645161,28.5744606317356
"31",116,-4.01892,57.0843,13.0116,12.25,5.3589,3.2486,3.9848,2.2963,41.9827,142.5452,9,"WA1",116,0.134117902964654,0.0340738999739087,0.0674302897693912,0.0616327261710066,0.0490957101113477,0.228193548387097,29.6866903812595
"32",116.5,-7.55656,56.8496,13.0487,12.25,6.4532,3.251,4.005,2.2878,41.8227,141.9505,9,"WA1",116.5,0.132919500766171,0.0337146285773225,0.0667705718022127,0.0610231529263652,0.0486143650065466,0.233677419354839,29.5735763852321
"33",117,-10.76729,55.7565,13.0859,12.25,9.027,3.2395,4.0035,2.2985,40.4814,141.483,9,"WA1",117,0.127338020394794,0.0320558163421197,0.0637123766029738,0.0581986112780803,0.0463836043712005,0.226774193548387,28.6251215935833
"34",117.5,-8.77974,55.5188,13.2887,12.25,8.8005,3.228,3.8766,2.3077,38.3907,140.6776,9,"WA1",117.5,0.126124299889555,0.0316982318299574,0.0630504834352281,0.0575875545003952,0.0459009136996221,0.220838709677419,27.1467734383452
"35",118,-4.92357,56.0473,13.2627,12.25,6.7946,3.227,3.7537,2.286,37.2378,139.8927,9,"WA1",118,0.1288228749296,0.03249479848989,0.0645236467517788,0.0589477028463006,0.0469752858964102,0.234838709677419,26.3316245041923
"36",118.5,-6.06381,56.3853,13.1427,12.25,6.8016,3.277,3.6347,2.2767,36.8257,138.4203,9,"WA1",118.5,0.130548737490688,0.0330071373706342,0.0654686957874427,0.0598204992585034,0.0476646161366404,0.240838709677419,26.0402590595224
"37",119,-10.42605,56.338,13.1171,12.25,8.2408,3.3323,3.518,2.2783,36.2165,137.2773,9,"WA1",119,0.13030721885418,0.032935303701935,0.0653363087345744,0.0596982221802489,0.0475680461516237,0.239806451612903,25.6094941319058
