"","DEPT","SP","GR","CALI","LL8","ILM","ILD","LLD","LLS","RHOB","NPHI","DT","well_name","DEPTH","VSH_linear","VSH_larionov_young","VSH_larionov_old","VSH_clavier","VSH_steiber","PHID","PHIND"
"1240",671.5,-46.91022,86.8111,12.7442,14.95,7.3485,9.8711,NA,NA,NA,NA,151.37959,"SB19",671.5,0.492010627520691,0.210146648637748,0.322730421334328,0.300317656081306,0.244055463754798,NA,NA
"1241",672,-46.95396,88.3842,12.7196,15.615,7.3118,9.9152,NA,NA,NA,NA,151.69299,"SB19",672,0.504038075577728,0.21932999528379,0.333705015116523,0.310650399446172,0.253040835808109,NA,NA
"1242",672.5,-47.0148,90.0702,12.6837,14.6272,7.0911,9.6793,NA,NA,NA,NA,151.8567,"SB19",672.5,0.516928722977235,0.229492056377213,0.345672187183775,0.321927257655461,0.262915179732824,NA,NA
"1243",673,-46.89085,91.3569,12.6422,13.6735,6.9969,9.4726,NA,NA,NA,NA,152.2841,"SB19",673,0.52676644302999,0.237476613389866,0.354950110388459,0.330677505386132,0.27062694214428,NA,NA
"1244",673.5,-46.67469,92.223,12.6432,13.4316,6.8826,9.4855,NA,NA,NA,NA,152.8465,"SB19",673.5,0.533388382361374,0.242965720922101,0.361266872497493,0.336639043299247,0.275906254708799,NA,NA
"1245",674,-46.66793,92.6073,12.6455,13.2852,6.8483,9.4984,NA,NA,NA,NA,153.3327,"SB19",674,0.536326624233041,0.245431328808291,0.36408833020016,0.339302943997991,0.278271994287584,NA,NA
"1246",674.5,-46.61887,93.1483,12.6421,13.0517,6.8477,9.2771,NA,NA,NA,NA,153.84441,"SB19",674.5,0.540462947034425,0.248933938651674,0.368079777279907,0.343072707535636,0.281626929030022,NA,NA
"1247",675,-46.70071,92.656,12.6495,13.1198,6.8787,9.1437,NA,NA,NA,NA,153.99409,"SB19",675,0.536698969742149,0.24574510880958,0.364446697530526,0.339641349408654,0.278572820377078,NA,NA
"1248",675.5,-46.67566,91.7206,12.6568,13.6802,6.8722,9.0677,NA,NA,NA,NA,153.87711,"SB19",675.5,0.529547183515874,0.23977029703387,0.357595637471561,0.333173850298371,0.272835100543261,NA,NA
"1249",676,-46.6096,91.6697,12.6581,14.4412,6.8404,8.986,NA,NA,NA,NA,154.72141,"SB19",676,0.529158017470421,0.239448309559457,0.357224780570305,0.332823870860749,0.272525306379763,NA,NA
"1250",676.5,-46.66684,92.6839,12.6585,14.6926,6.7692,8.891,NA,NA,NA,NA,155.51151,"SB19",676.5,0.536912284725806,0.245925006939579,0.36465208784112,0.339835304128803,0.278745267025312,NA,NA
"1251",677,-46.68499,93.0695,12.6557,14.5934,6.6838,8.8246,NA,NA,NA,NA,156.43761,"SB19",677,0.539860466005314,0.248421447066459,0.367496973260928,0.342522182561687,0.281136463446729,NA,NA
"1252",677.5,-46.56603,93.4902,12.6915,14.5001,6.5628,8.7193,NA,NA,NA,NA,156.9344,"SB19",677.5,0.543077011296519,0.251166748320391,0.370614111705329,0.345467038427594,0.283762130133547,NA,NA
"1253",678,-46.25117,93.4332,12.7385,14.3727,6.3846,8.5738,NA,NA,NA,NA,156.5493,"SB19",678,0.542641206491198,0.250793463995768,0.370190960903468,0.34506722235747,0.283405349264288,NA,NA
"1254",678.5,-46.11652,93.0453,12.7625,14.3404,6.2502,8.5451,NA,NA,NA,NA,155.1116,"SB19",678.5,0.539675440105511,0.248264216390554,0.367318087978151,0.342353211177808,0.280985961748601,NA,NA
"1255",679,-46.21336,92.7747,12.7996,14.2911,6.2768,8.5591,NA,NA,NA,NA,153.8046,"SB19",679,0.537606514134985,0.246511163678879,0.365320947202983,0.34046694921725,0.27930702048122,NA,NA
"1256",679.5,-46.1359,92.3616,12.9199,14.0963,6.2666,8.5774,NA,NA,NA,NA,153.2348,"SB19",679.5,0.534448076151155,0.243852815221948,0.36228312266298,0.337598463269102,0.276757812268013,NA,NA
"1257",680,-45.92315,91.1274,12.8346,13.9427,6.6134,8.8511,NA,NA,NA,NA,153.1284,"SB19",680,0.525011755261196,0.236037660592772,0.353285984645386,0.329107517172888,0.269240043710396,NA,NA
"1258",680.5,-45.61378,90.2787,12.7861,13.9931,6.8706,9.2131,NA,NA,NA,NA,153.1945,"SB19",680.5,0.518522851080911,0.230772255326644,0.347167027099643,0.32333662015958,0.264154316609391,NA,NA
"1259",681,-44.66923,89.8493,12.8297,14.6309,7.2643,9.4452,NA,NA,NA,NA,153.5209,"SB19",681,0.515239788214156,0.228141418874915,0.34409204541551,0.320437657392312,0.26160672519444,NA,NA
"1260",681.5,-43.63087,89.9598,12.9098,15.5299,7.43,9.7809,NA,NA,NA,NA,154.2032,"SB19",681.5,0.516084637880612,0.228816312049963,0.344882011499446,0.321182334929386,0.262260687123,NA,NA
"1261",682,-42.70531,91.5155,12.9059,16.2573,7.5995,10.1285,NA,NA,NA,NA,154.9913,"SB19",682,0.527979050786551,0.238474817497257,0.356102501290863,0.331764840815234,0.271588308468962,NA,NA
"1262",682.5,-42.42886,92.948,12.9517,15.1571,7.7729,10.4884,NA,NA,NA,NA,155.3269,"SB19",682.5,0.538931513657129,0.24763279763378,0.366599313808454,0.341674301035552,0.28038143031196,NA,NA
"1263",683,-43.2806,92.6072,12.9642,13.6062,7.9502,10.8545,NA,NA,NA,NA,153.7408,"SB19",683,0.536325859663207,0.245430684804393,0.364087594523246,0.339302249311761,0.278271376814038,NA,NA
"1264",683.5,-44.13614,90.6948,12.9739,12.7623,8.1859,11.1054,NA,NA,NA,NA,147.3199,"SB19",683.5,0.521704226159757,0.233342825884794,0.350160147423154,0.326159112639535,0.26663931303303,NA,NA
"1265",684,-45.01618,87.5142,13.16,13.2374,8.4364,10.9917,NA,NA,NA,NA,140.89909,"SB19",684,0.497386318022822,0.214216172192658,0.327612927682784,0.304913620806314,0.248044848660934,NA,NA
"1266",684.5,-45.13153,84.2649,13.2894,13.6174,8.35,10.7715,NA,NA,NA,NA,136.8743,"SB19",684.5,0.472543150410001,0.19587003019128,0.305350337440316,0.283969435207492,0.229957662260253,NA,NA
"1267",685,-44.79117,81.248,13.0762,13.577,8.167,10.5556,NA,NA,NA,NA,136.74249,"SB19",685,0.449476843091156,0.179851425870211,0.285355326414761,0.26518189752248,0.2139300024636,NA,NA
"1268",685.5,-44.70491,78.3465,12.8823,13.4437,8.1318,10.4909,NA,NA,NA,NA,140.6627,"SB19",685.5,0.427292849360629,0.165314203258365,0.266719003734489,0.247687763674631,0.199165657237368,NA,NA
"1269",686,-44.91765,75.7154,12.8902,13.1874,8.0869,10.459,NA,NA,NA,NA,144.5829,"SB19",686,0.407176252460959,0.152828058052808,0.250307884028228,0.232294053297287,0.186295481489074,NA,NA
"1270",686.5,-45.1893,73.7807,12.887,12.8141,8.0677,10.5271,NA,NA,NA,NA,147.6602,"SB19",686.5,0.39238411988455,0.144049126293342,0.238529127308621,0.221251564794046,0.177130053355524,NA,NA
"1271",687,-45.56014,72.3475,12.8233,12.1492,8.2204,10.7828,NA,NA,NA,NA,146.65559,"SB19",687,0.381426305025135,0.137757211935303,0.229958005254149,0.213219200150983,0.170496725758291,NA,NA
"1272",687.5,-45.79478,71.5322,12.8428,11.6509,8.5007,11.0497,NA,NA,NA,NA,144.86391,"SB19",687.5,0.375192767169371,0.134256069170313,0.22513996543252,0.208705088379005,0.166780918640246,NA,NA
"1273",688,-45.19503,70.7395,12.9157,13.3075,9.3191,11.5376,NA,NA,NA,NA,143.0722,"SB19",688,0.369132022096068,0.130905225015859,0.220495232161261,0.204354079560014,0.163207389946727,NA,NA
"1274",688.5,-44.14887,70.103,12.9854,16.7465,9.5881,11.6167,NA,NA,NA,NA,141.537,"SB19",688.5,0.364265535103312,0.128252105644403,0.216793879633379,0.200887305506601,0.160365625224047,NA,NA
"1275",689,-43.88941,71.0817,13.0009,18.465,9.5543,11.6729,NA,NA,NA,NA,142.2863,"SB19",689,0.371748380067664,0.132345361395131,0.222495527039917,0.206227791856356,0.16474533406385,NA,NA
"1276",689.5,-44.53895,72.3322,13.0164,17.019,9.3092,11.687,NA,NA,NA,NA,143.03571,"SB19",689.5,0.381309325840549,0.1376909924912,0.229867205579898,0.213134121095565,0.17042661329373,NA,NA
"1277",690,-44.9863,72.0948,13.0319,15.6441,9.0703,11.6196,NA,NA,NA,NA,141.3515,"SB19",690,0.379494237054877,0.136666050643017,0.228460212122484,0.211815807043594,0.169340600291702,NA,NA
"1278",690.5,-45.38214,70.9241,12.9715,14.7335,8.8377,11.4811,NA,NA,NA,NA,137.6743,"SB19",690.5,0.370543418009442,0.131680906964944,0.22157339116986,0.205363994091986,0.164036149736892,NA,NA
"1279",691,-45.64918,69.4483,12.8852,13.4185,8.4144,11.2182,NA,NA,NA,NA,129.7249,"SB19",691,0.359259896400788,0.12555745141272,0.213012653721785,0.197346190276352,0.157467899685155,NA,NA
"1280",691.5,-45.51093,68.4245,12.773,12.4805,8.1317,10.7321,NA,NA,NA,NA,124.6617,"SB19",691.5,0.351432230441348,0.121412368682355,0.207152035117275,0.191858672143379,0.152987154853035,NA,NA
"1281",692,-45.32607,68.3634,12.6843,12.4283,7.8591,10.2423,NA,NA,NA,NA,123.4547,"SB19",692,0.350965078272837,0.121167613108178,0.206804282480093,0.191533094744545,0.152721676093746,NA,NA
"1282",692.5,-45.35721,70.2218,12.6829,12.8913,7.648,9.7962,NA,NA,NA,NA,127.3849,"SB19",692.5,0.365173844065982,0.128744788864894,0.217482827180117,0.201532555602993,0.160894178441555,NA,NA
"1283",693,-45.88435,72.1462,12.6815,12.7296,7.3944,9.2928,NA,NA,NA,NA,135.7049,"SB19",693,0.3798872259495,0.136887558574261,0.228764543182292,0.212100951263462,0.169575436844528,NA,NA
"1284",693.5,-46.0104,74.3315,12.7444,12.2645,7.1746,9.3956,NA,NA,NA,NA,140.2607,"SB19",693.5,0.396595370529656,0.146514629036586,0.241857926493412,0.224371797052887,0.179714385791561,NA,NA
"1285",694,-45.27534,76.6591,12.7671,12.6948,7.482,9.4784,NA,NA,NA,NA,142.79939,"SB19",694,0.414391497983447,0.157232573931189,0.256141513719112,0.237764865275694,0.190856785486527,NA,NA
"1286",694.5,-44.66368,77.7041,12.7772,13.833,7.7008,9.4941,NA,NA,NA,NA,145.3952,"SB19",694.5,0.422381252747673,0.162205931275646,0.262669793573367,0.243888629437788,0.195978983209342,NA,NA
"1287",695,-44.65213,77.6598,12.8236,14.1316,7.8125,9.6608,NA,NA,NA,NA,145.4485,"SB19",695,0.422042548311256,0.161993024036327,0.262391574321217,0.243627616377191,0.195760300023938,NA,NA
"1288",695.5,-44.96136,77.44,12.8906,13.6066,7.8996,10.0449,NA,NA,NA,NA,145.18221,"SB19",695.5,0.42036202381635,0.160939389025171,0.261013085062141,0.242334422581732,0.194677305304813,NA,NA
"1289",696,-45.60521,76.8549,12.8802,13.3359,8.6386,10.325,NA,NA,NA,NA,144.10229,"SB19",696,0.415888525718218,0.158156682283899,0.257359208691304,0.238906985106553,0.191810775729379,NA,NA
"1290",696.5,-46.24585,75.0939,12.8771,13.7632,8.3158,10.5416,NA,NA,NA,NA,143.315,"SB19",696.5,0.402424450943288,0.149971537620206,0.246497729673022,0.228721532148863,0.183324260133684,NA,NA
"1291",697,-46.7948,73.2329,12.9184,13.8112,8.2547,10.6812,NA,NA,NA,NA,143.49541,"SB19",697,0.388195806334461,0.141623321778266,0.235237678042844,0.218166714142211,0.174579214823164,NA,NA
"1292",697.5,-46.49154,72.6562,12.9298,13.061,8.2018,10.4099,NA,NA,NA,NA,143.961,"SB19",697.5,0.383786532102376,0.139097539534679,0.231793171428604,0.214938805020646,0.171914487300191,NA,NA
"1293",698,-45.64898,73.3144,12.8992,12.7312,8.1958,9.9119,NA,NA,NA,NA,144.9389,"SB19",698,0.388818930749087,0.141982577642359,0.235726160442812,0.218624512136638,0.174957503105774,NA,NA
"1294",698.5,-45.34962,74.3422,12.8178,12.6441,7.8159,9.6236,NA,NA,NA,NA,145.7522,"SB19",698.5,0.396677179501883,0.146562788767828,0.241922785331722,0.224432595927995,0.179764785125533,NA,NA
"1295",699,-45.61567,74.5753,12.8054,12.2153,7.3559,9.4563,NA,NA,NA,NA,146.9299,"SB19",699,0.398459391784697,0.147614462463194,0.243337565287132,0.22575885127297,0.180864594919598,NA,NA
"1296",699.5,-46.10631,74.3274,12.8835,11.6492,7.1076,9.175,NA,NA,NA,NA,146.9902,"SB19",699.5,0.396564023166466,0.146496177985316,0.241833075990562,0.22434850215338,0.179695075877652,NA,NA
"1297",700,-46.11225,74.1801,12.8404,11.134,7.0551,9.0478,NA,NA,NA,NA,145.94119,"SB19",700,0.395437811801135,0.145834273223023,0.240940992185127,0.223512275541601,0.179002058927053,NA,NA
"1298",700.5,-45.95269,74.1715,12.7263,11.2001,7.0179,8.8949,NA,NA,NA,NA,144.8922,"SB19",700.5,0.39537205879542,0.145795687446184,0.240888951560715,0.223463494250724,0.178961641312582,NA,NA
