"","DEPT","SP","GR","CALI","LL8","ILM","ILD","LLD","LLS","RHOB","NPHI","DT","well_name","DEPTH","VSH_linear","VSH_larionov_young","VSH_larionov_old","VSH_clavier","VSH_steiber","PHID","PHIND"
"1",68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",68,NA,NA,NA,NA,NA,NA,NA
"2",68.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",68.5,NA,NA,NA,NA,NA,NA,NA
"3",69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",69,NA,NA,NA,NA,NA,NA,NA
"4",69.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",69.5,NA,NA,NA,NA,NA,NA,NA
"5",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",70,NA,NA,NA,NA,NA,NA,NA
"6",70.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",70.5,NA,NA,NA,NA,NA,NA,NA
"7",71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",71,NA,NA,NA,NA,NA,NA,NA
"8",71.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",71.5,NA,NA,NA,NA,NA,NA,NA
"9",72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",72,NA,NA,NA,NA,NA,NA,NA
"10",72.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",72.5,NA,NA,NA,NA,NA,NA,NA
"11",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",73,NA,NA,NA,NA,NA,NA,NA
"12",73.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",73.5,NA,NA,NA,NA,NA,NA,NA
"13",74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",74,NA,NA,NA,NA,NA,NA,NA
"14",74.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",74.5,NA,NA,NA,NA,NA,NA,NA
"15",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",75,NA,NA,NA,NA,NA,NA,NA
"16",75.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",75.5,NA,NA,NA,NA,NA,NA,NA
"17",76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",76,NA,NA,NA,NA,NA,NA,NA
"18",76.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",76.5,NA,NA,NA,NA,NA,NA,NA
"19",77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",77,NA,NA,NA,NA,NA,NA,NA
"20",77.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",77.5,NA,NA,NA,NA,NA,NA,NA
"21",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",78,NA,NA,NA,NA,NA,NA,NA
"22",78.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",78.5,NA,NA,NA,NA,NA,NA,NA
"23",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",79,NA,NA,NA,NA,NA,NA,NA
"24",79.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",79.5,NA,NA,NA,NA,NA,NA,NA
"25",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",80,NA,NA,NA,NA,NA,NA,NA
"26",80.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",80.5,NA,NA,NA,NA,NA,NA,NA
"27",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",81,NA,NA,NA,NA,NA,NA,NA
"28",81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",81.5,NA,NA,NA,NA,NA,NA,NA
"29",82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",82,NA,NA,NA,NA,NA,NA,NA
"30",82.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",82.5,NA,NA,NA,NA,NA,NA,NA
"31",83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",83,NA,NA,NA,NA,NA,NA,NA
"32",83.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",83.5,NA,NA,NA,NA,NA,NA,NA
"33",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",84,NA,NA,NA,NA,NA,NA,NA
"34",84.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",84.5,NA,NA,NA,NA,NA,NA,NA
"35",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",85,NA,NA,NA,NA,NA,NA,NA
"36",85.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",85.5,NA,NA,NA,NA,NA,NA,NA
"37",86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",86,NA,NA,NA,NA,NA,NA,NA
"38",86.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",86.5,NA,NA,NA,NA,NA,NA,NA
"39",87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",87,NA,NA,NA,NA,NA,NA,NA
"40",87.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",87.5,NA,NA,NA,NA,NA,NA,NA
"41",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",88,NA,NA,NA,NA,NA,NA,NA
"42",88.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",88.5,NA,NA,NA,NA,NA,NA,NA
"43",89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",89,NA,NA,NA,NA,NA,NA,NA
"44",89.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",89.5,NA,NA,NA,NA,NA,NA,NA
"45",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",90,NA,NA,NA,NA,NA,NA,NA
"46",90.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",90.5,NA,NA,NA,NA,NA,NA,NA
"47",91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",91,NA,NA,NA,NA,NA,NA,NA
"48",91.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",91.5,NA,NA,NA,NA,NA,NA,NA
"49",92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",92,NA,NA,NA,NA,NA,NA,NA
"50",92.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",92.5,NA,NA,NA,NA,NA,NA,NA
"51",93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",93,NA,NA,NA,NA,NA,NA,NA
"52",93.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",93.5,NA,NA,NA,NA,NA,NA,NA
"53",94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",94,NA,NA,NA,NA,NA,NA,NA
"54",94.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",94.5,NA,NA,NA,NA,NA,NA,NA
"55",95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",95,NA,NA,NA,NA,NA,NA,NA
"56",95.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",95.5,NA,NA,NA,NA,NA,NA,NA
"57",96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",96,NA,NA,NA,NA,NA,NA,NA
"58",96.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",96.5,NA,NA,NA,NA,NA,NA,NA
"59",97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",97,NA,NA,NA,NA,NA,NA,NA
"60",97.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SB17",97.5,NA,NA,NA,NA,NA,NA,NA
