DEPT,SP,GR,CALI,SFL_A,ILM,ILD,LLD,LLS,RHOB,NPHI,DT,well_name,DEPTH
93.0,,,,,,,,,,,,SB20,93.0
93.5,,,,,,,,,,,,SB20,93.5
94.0,,,,,,,,,,,,SB20,94.0
94.5,,,,,,,,,,,,SB20,94.5
95.0,,,,,,,,,,,,SB20,95.0
95.5,,,,,,,,,,,,SB20,95.5
96.0,,,,,,,,,,,,SB20,96.0
96.5,,,,,,,,,,,,SB20,96.5
97.0,,,,,,,,,,,,SB20,97.0
97.5,,,,,,,,,,,,SB20,97.5
98.0,,,,,,,,,,,,SB20,98.0
98.5,,,,,,,,,,,,SB20,98.5
99.0,,,,,,,,,,,,SB20,99.0
99.5,,,,,,,,,,,,SB20,99.5
100.0,,,,,,,,,,,,SB20,100.0
100.5,,,,,,,,,,,,SB20,100.5
101.0,,,,,,,,,,,,SB20,101.0
101.5,,,,,,,,,,,,SB20,101.5
102.0,,,,,,,,,,,,SB20,102.0
102.5,,,,,,,,,,,,SB20,102.5
103.0,,,,,,,,,,,,SB20,103.0
103.5,,71.4164,,,,,,,,,,SB20,103.5
104.0,,75.2456,,,,,,,,,,SB20,104.0
104.5,,76.8253,,,,,,,,,,SB20,104.5
105.0,-10.45698,77.2235,,,,,,,,,,SB20,105.0
105.5,-10.76008,76.0432,,,,,,,,,,SB20,105.5
106.0,-10.99008,73.9905,,,,,,,,,,SB20,106.0
106.5,-11.03548,73.1645,,,,,,,,,,SB20,106.5
107.0,-11.00598,73.8496,,,,,,,,,,SB20,107.0
107.5,-10.47858,76.2379,,,,,,,,,,SB20,107.5
108.0,-9.97389,77.5127,,,,,,,,,,SB20,108.0
108.5,-8.58979,78.0038,,,,,,,,,,SB20,108.5
109.0,-6.80809,77.9698,,,,,,,,,,SB20,109.0
109.5,-6.52999,77.4669,,,,,,,,,,SB20,109.5
110.0,-6.49359,75.7613,,,,62.923,,,,,,SB20,110.0
110.5,-6.69019,74.496,,,,33.6561,,,,,158.7549,SB20,110.5
111.0,-6.7975,73.2235,,,16.8389,29.8468,,,,,158.22951,SB20,111.0
111.5,-5.9139,72.1723,,,13.0111,27.2893,,,,,157.8607,SB20,111.5
112.0,-5.4078,72.211,,,17.482,24.3606,,,,,157.9353,SB20,112.0
112.5,-4.9366,73.2845,,,24.6008,26.7776,,,,,158.0576,SB20,112.5
113.0,-5.0,74.3627,,75.9976,14.9059,51.4301,,,,,158.09891,SB20,113.0
113.5,-5.3483,74.4958,,78.3018,10.6216,59.2416,,,,,158.4902,SB20,113.5
