DEPT,SP,GR,CALI,BITSIZE,LLD,LLS,RHOB,NPHI,DT,MUDWGT,well_name,DEPTH
96.5,,35.0629,,,,,,60.0815,,,TL1,96.5
97.0,,34.8764,,,,,,60.0798,,,TL1,97.0
97.5,,34.69,,,,,,60.0781,,,TL1,97.5
98.0,,34.112,,,,,,60.0764,,,TL1,98.0
98.5,,33.609,,,,,,60.0747,,,TL1,98.5
99.0,,33.8074,,,,,,60.073,,,TL1,99.0
99.5,,34.3726,,,,,,60.0713,,,TL1,99.5
100.0,,35.5107,,,,,,60.0696,,,TL1,100.0
100.5,,36.224,,,,,,60.0679,,,TL1,100.5
101.0,,36.4512,,,,,,60.0662,,,TL1,101.0
101.5,,37.5206,,,,,,60.0645,,,TL1,101.5
102.0,,38.6506,,,,,,60.0628,,,TL1,102.0
102.5,,39.1097,,,,,,60.0611,,,TL1,102.5
103.0,,38.7736,,,,,,60.0594,,,TL1,103.0
103.5,,37.937,,,,,,60.0577,,,TL1,103.5
104.0,,37.302,,,,,,60.056,,,TL1,104.0
104.5,,37.1888,,,,,,59.9239,,,TL1,104.5
105.0,,38.0709,,,,,,58.5289,,9.6,TL1,105.0
105.5,,40.3643,,,,,,58.2029,,9.6,TL1,105.5
106.0,,43.0331,,,,,,57.9071,,9.6,TL1,106.0
106.5,,45.732,,,,,,57.1482,,9.6,TL1,106.5
107.0,,48.9981,,,,,,57.387,,9.6,TL1,107.0
107.5,,55.7435,,,,,,56.5727,,9.6,TL1,107.5
108.0,,64.539,,,,,,55.177,,9.6,TL1,108.0
108.5,,70.1536,,,,,,54.523,,9.6,TL1,108.5
109.0,,74.9945,,,,,,53.8043,,9.6,TL1,109.0
109.5,,77.4169,,,,,,54.7893,,9.6,TL1,109.5
110.0,,78.8564,13.3622,12.25,3.1203,,2.1506,55.508,,9.6,TL1,110.0
110.5,,79.3889,13.3582,12.25,6.0174,,2.1747,55.5123,,9.6,TL1,110.5
111.0,,79.8095,13.357,12.25,11.6044,,2.1836,53.1493,,9.6,TL1,111.0
111.5,,,13.6215,12.25,18.5669,,2.1929,49.2411,,9.6,TL1,111.5
112.0,,,14.112,12.25,22.888,22.7368,2.2253,46.931,,9.6,TL1,112.0
112.5,,,14.0126,12.25,27.2109,26.5538,2.2336,46.5555,,9.6,TL1,112.5
113.0,,,13.8416,12.25,32.3504,31.0117,2.2238,46.5252,,9.6,TL1,113.0
113.5,,,14.0722,12.25,38.4605,36.2179,2.2122,,,9.6,TL1,113.5
114.0,,,14.0375,12.25,45.7247,42.2982,2.2007,,,9.6,TL1,114.0
114.5,,,14.2646,12.25,49.7329,44.2485,2.1891,,,9.6,TL1,114.5
115.0,,,14.5876,12.25,52.6944,44.3729,2.1775,,,9.6,TL1,115.0
115.5,,,14.3436,12.25,49.8624,42.1894,2.1659,,,9.6,TL1,115.5
116.0,,,14.4002,12.25,50.2473,41.1993,,,,9.6,TL1,116.0
116.5,,,13.9622,12.25,48.2468,39.7176,,,,9.6,TL1,116.5
117.0,,,13.8328,12.25,44.7481,38.1993,,,,9.6,TL1,117.0
117.5,,,13.8488,12.25,45.6091,36.6514,,,,9.6,TL1,117.5
118.0,,,13.8459,12.25,46.4645,38.1608,,,,9.6,TL1,118.0
118.5,,,14.2009,12.25,52.5223,40.0725,,,,9.6,TL1,118.5
119.0,,,,12.25,57.322,41.0497,,,,9.6,TL1,119.0
119.5,,,,12.25,62.061,41.5872,,,,9.6,TL1,119.5
120.0,,,,12.25,65.2649,43.1172,,,,9.6,TL1,120.0
120.5,,,,12.25,68.6342,42.9439,,,,9.6,TL1,120.5
121.0,,,,12.25,72.1774,42.6142,,,,9.6,TL1,121.0
121.5,,,,12.25,80.6835,43.8353,,,,9.6,TL1,121.5
122.0,,,,12.25,95.6542,45.8008,,,,9.6,TL1,122.0
122.5,,,,12.25,111.1283,47.2547,,,,9.6,TL1,122.5
