DEPT,SP,GR,CALI,LL8,ILM,ILD,LLD,LLS,RHOB,NPHI,DT,well_name,DEPTH
111.0,-44.60936,66.4249,12.6434,6.9284,3.1213,5.4129,,,,,158.8414,SB19,111.0
111.5,-45.353,68.598,12.4943,7.9603,3.1478,5.5214,,,,,162.2798,SB19,111.5
112.0,-46.87084,69.2627,12.4669,9.4095,3.164,5.5061,,,,,165.5182,SB19,112.0
112.5,-48.83919,69.2598,12.4334,10.2244,3.0712,5.4808,,,,,167.6382,SB19,112.5
113.0,-50.55213,69.3327,12.4166,9.5798,3.062,5.3272,,,,,168.7106,SB19,113.0
113.5,-51.22958,69.8319,12.3595,8.9758,3.0104,5.3001,,,,,169.787,SB19,113.5
114.0,-50.40771,69.7264,12.37,8.3804,3.0971,5.4737,,,,,171.2303,SB19,114.0
114.5,-48.33646,69.5251,12.3911,8.2151,3.1433,5.5687,,,,,173.0602,SB19,114.5
115.0,-46.8534,69.5191,12.4733,8.3559,3.5003,5.7882,,,,,174.3978,SB19,115.0
115.5,-46.37985,69.5894,12.6314,8.8027,3.8581,6.1359,,,,,175.5303,SB19,115.5
116.0,-48.25879,69.6252,12.6571,9.6188,4.2032,6.6461,,,,,176.77679,SB19,116.0
116.5,-50.64183,69.984,12.6815,10.486,4.5791,7.3722,,,,,177.38229,SB19,116.5
117.0,-51.71758,69.7973,12.5962,10.3719,4.9567,8.1533,,,,,175.9566,SB19,117.0
117.5,-52.39202,69.0294,12.5391,8.9506,5.3095,9.0172,,,,,174.11301,SB19,117.5
118.0,-53.16067,68.1341,12.5021,7.6586,5.6875,9.9727,,,,,171.3591,SB19,118.0
118.5,-54.16341,67.1204,12.5236,6.5531,6.2868,11.0294,,,,,168.0553,SB19,118.5
119.0,-54.97816,65.0403,12.655,7.5634,6.9585,11.3344,,,,,165.56059,SB19,119.0
119.5,-55.5489,61.5913,12.8104,8.65,7.2533,11.289,,,,,162.50079,SB19,119.5
120.0,-55.94114,57.0904,13.0692,8.5342,7.3863,11.3362,,,,,160.17039,SB19,120.0
120.5,-56.26008,55.1209,13.3281,8.4199,7.4611,11.466,,,,,160.79401,SB19,120.5
121.0,-56.61143,55.208,12.9708,8.3071,7.3541,11.5569,,,,,163.3638,SB19,121.0
121.5,-56.70377,55.4018,12.958,8.1515,7.0901,11.3095,,,,,164.0334,SB19,121.5
122.0,-56.72251,54.0235,13.1469,7.9112,6.8355,10.6012,,,,,162.67619,SB19,122.0
122.5,-56.88356,51.2884,13.9162,7.6779,6.5901,9.8985,,,,,159.5201,SB19,122.5
123.0,-57.079,48.9727,14.701,7.466,6.3536,9.2424,,,,,157.73801,SB19,123.0
123.5,-57.04855,47.5344,14.8346,7.3067,5.7761,8.6297,,,,,157.7628,SB19,123.5
124.0,-56.85889,47.2814,15.0599,7.0216,5.4046,8.0577,,,,,159.6123,SB19,124.0
124.5,-56.84164,47.6224,15.4139,6.7435,5.2301,7.6098,,,,,157.09599,SB19,124.5
125.0,-57.37428,48.8262,14.789,6.4764,5.08,7.2331,,,,,154.10069,SB19,125.0
125.5,-58.48302,50.0332,13.9491,6.2199,4.9964,6.8751,,,,,152.31551,SB19,125.5
126.0,-60.19487,50.7048,14.2705,5.9735,5.2835,7.5129,,,,,150.83521,SB19,126.0
126.5,-61.17041,51.1897,14.9681,6.1025,5.5871,7.8322,,,,,149.7169,SB19,126.5
127.0,-61.48206,51.7506,14.1996,6.2672,5.8051,7.8129,,,,,148.20419,SB19,127.0
