DEPT,SP,GR,CALI,BITSIZE,LL8,ILM,ILD,LLD,LLS,RHOB,NPHI,DT,MUDWGT,well_name,DEPTH
74.0,,17.2687,,,,,,,,,,,,LI1,74.0
74.5,,17.2966,,,,,,,,,,,,LI1,74.5
75.0,,17.302,,,,,,,,,,,,LI1,75.0
75.5,,17.4355,,,,,,,,,,,,LI1,75.5
76.0,,17.2586,,,,,,,,,,,,LI1,76.0
76.5,,16.8171,,,,,,,,,,,,LI1,76.5
77.0,,16.4257,,,,,,,,,,,,LI1,77.0
77.5,,16.6982,,,,,,,,,,,,LI1,77.5
78.0,,17.2183,,,,,,,,,,,,LI1,78.0
78.5,,17.7287,,,,,,,,,,,,LI1,78.5
79.0,,18.215,,,,,,,,,,,,LI1,79.0
79.5,,18.5458,,,,,,,,,,,,LI1,79.5
80.0,,18.1723,,,,,,,,,,,,LI1,80.0
80.5,,17.2297,,,,,,,,,,,,LI1,80.5
81.0,,15.9696,,,,,,,,,,,,LI1,81.0
81.5,,15.3889,,,,,,,,,,,,LI1,81.5
82.0,,15.3514,,,,,,,,,,,,LI1,82.0
82.5,,16.1866,,,,,,,,,,,,LI1,82.5
83.0,,16.9104,,,,,,,,,,,,LI1,83.0
83.5,,17.5944,,,,,,,,,,,,LI1,83.5
84.0,,17.1448,,,,,,,,,,,,LI1,84.0
84.5,,16.7193,,,,,,,,,,,,LI1,84.5
85.0,,16.6592,,,,,,,,,,,,LI1,85.0
85.5,,16.8755,,,,,,,,,,,,LI1,85.5
86.0,,17.065,,,,,,,,,,,,LI1,86.0
86.5,,17.3553,,,,,,,,,,,,LI1,86.5
87.0,,19.1013,,,,,,,,,,,,LI1,87.0
87.5,,19.5366,,,,,,,,,,,,LI1,87.5
88.0,,21.1854,,,,,,,,,,,,LI1,88.0
88.5,,21.8419,,,,,,,,,,,,LI1,88.5
89.0,,21.859,,,,,,,,,,,,LI1,89.0
89.5,,21.7539,,,,,,,,,,,,LI1,89.5
90.0,,21.0432,,,,,,,,,,,,LI1,90.0
90.5,,20.1553,,,,,,,,,,,,LI1,90.5
91.0,,19.8482,,,,,,,,,,,,LI1,91.0
91.5,,20.2438,,,,,,,,,,,,LI1,91.5
92.0,,21.6641,,,,,,,,,,,,LI1,92.0
92.5,,22.509,,,,,,,,,,,,LI1,92.5
93.0,,22.7436,,,,,,,,,,,,LI1,93.0
93.5,,22.9829,,,,,,,,,,,,LI1,93.5
94.0,,23.0582,,,,,,,,,,,,LI1,94.0
94.5,,24.56,,,,,,,,,,,,LI1,94.5
95.0,,26.3059,,,,,,,,,,,,LI1,95.0
95.5,,27.5922,,,,,,,,,,,,LI1,95.5
96.0,,27.472,,,,,,,,,,,,LI1,96.0
96.5,,25.3857,,,,,,,,,,,,LI1,96.5
97.0,,23.5,,,,,,,,,,,,LI1,97.0
97.5,,21.5274,,,,,,,,,,,,LI1,97.5
98.0,,20.0869,,,,,,,,,,,,LI1,98.0
98.5,,20.0168,,,,,,,,,,,,LI1,98.5
99.0,,20.8766,,,,,,,,,,,,LI1,99.0
99.5,,21.757,,,,,,,,,,,,LI1,99.5
100.0,,22.6703,,,,,,,,,,,,LI1,100.0
100.5,,23.7514,,,,,,,,,,,,LI1,100.5
101.0,,24.6827,,,,,,,,,,,,LI1,101.0
101.5,,25.4404,,,,,,,,,,,,LI1,101.5
102.0,,24.8799,,,,,,,,,,,,LI1,102.0
102.5,,24.0004,,,,,,,,,,,,LI1,102.5
103.0,,23.2219,,,,,,,,,,,,LI1,103.0
103.5,,22.3399,,,,,,,,,,,,LI1,103.5
104.0,,21.637,,,,,,,,,,,,LI1,104.0
104.5,,20.9591,,,,,,,,,,,,LI1,104.5
105.0,,20.043,,,,,,,,,,,,LI1,105.0
105.5,,19.409,,,,,,,,,,,,LI1,105.5
106.0,,18.2596,,,,,,,,,,,,LI1,106.0
106.5,,19.8128,,,,,,,,,,,,LI1,106.5
107.0,,20.2138,,,,,,,,,,,,LI1,107.0
107.5,,21.1571,,,,,,,,,,,,LI1,107.5
108.0,,20.9308,,,,,,,,,,,,LI1,108.0
108.5,,20.2558,,,,,,,,,,,,LI1,108.5
109.0,,19.706,,,,,,,,,,,,LI1,109.0
109.5,,18.9388,,,,,,,,,,,,LI1,109.5
110.0,,19.0369,,,,,,,,,,,,LI1,110.0
110.5,,19.3653,,,,,,,,,,,,LI1,110.5
111.0,,19.6937,,,,,,,,,,,,LI1,111.0
111.5,,20.0221,,,,,,,,,,,,LI1,111.5
112.0,,20.3505,,,,,,,,,,,,LI1,112.0
112.5,,20.6161,,,,,,,,,,,,LI1,112.5
113.0,,20.4126,,,,,,,,,,,,LI1,113.0
113.5,,20.2091,,,,,,,,,,,,LI1,113.5
114.0,,19.9556,,,,,,,,,,,,LI1,114.0
114.5,,19.5715,,,,,,,,,,,,LI1,114.5
115.0,,18.6489,,,,,,,,,,,,LI1,115.0
115.5,,17.5962,,,,,,,,,,,,LI1,115.5
116.0,,16.6296,,,,,,,,,,,,LI1,116.0
116.5,,16.0508,,,,,,,,,,,,LI1,116.5
117.0,,15.646,,,,,,,,,,,,LI1,117.0
117.5,,14.9188,,,,,,,,,,,,LI1,117.5
118.0,,14.7999,,,,,,,,,,,,LI1,118.0
118.5,,14.8016,,,,,,,,,,,,LI1,118.5
119.0,,14.3442,,,,,,,,,,,,LI1,119.0
119.5,,14.3478,,,,,,,,,,,,LI1,119.5
120.0,,14.4632,,,,,,,,,,,,LI1,120.0
120.5,,14.631,,,,,,,,,,,,LI1,120.5
121.0,,14.7949,,,,,,,,,,,,LI1,121.0
121.5,,14.8596,,,,,,,,,,,,LI1,121.5
122.0,,14.7546,,,,,,,,,,,,LI1,122.0
122.5,,14.713,,,,,,,,,,,,LI1,122.5
123.0,,14.908,,,,,,,,,,,,LI1,123.0
123.5,,15.2884,,,,,,,,,,,,LI1,123.5
124.0,,15.3345,,,,,,,,,,,,LI1,124.0
124.5,,15.3971,,,,,,,,,,,,LI1,124.5
125.0,,15.5432,,,,,,,,,,,,LI1,125.0
125.5,,16.0449,,,,,,,,,,,,LI1,125.5
126.0,,16.829,,,,,,,,,,,,LI1,126.0
126.5,,17.5312,,,,,,,,,,,,LI1,126.5
127.0,,18.2794,,,,,,,,,,,,LI1,127.0
127.5,,18.6205,,,,,,,,,,,,LI1,127.5
128.0,,18.6273,,,,,,,,,,,,LI1,128.0
128.5,,19.782,,,,,,,,,,,,LI1,128.5
129.0,-10.34045,20.2032,,26.0,3.2246,29.4952,32.5395,,,,,112.5069,8.8,LI1,129.0
129.5,-7.50058,21.5323,,26.0,3.84,7.2694,24.7559,,,,,111.7434,8.8,LI1,129.5
130.0,-4.183,22.6111,,26.0,4.8601,6.1128,19.5652,,,,,116.5336,8.8,LI1,130.0
130.5,-1.21494,23.5622,,26.0,6.8763,6.0331,16.8082,,,,,114.1418,8.8,LI1,130.5
131.0,2.70373,24.067,,26.0,8.2149,5.888,14.331,,,,,108.5756,8.8,LI1,131.0
131.5,5.3214,24.2538,,26.0,11.1714,5.9293,11.8938,,,,,99.6988,8.8,LI1,131.5
132.0,7.30828,24.0381,,26.0,13.6594,6.3815,13.9311,,,,,93.9493,8.8,LI1,132.0
