DEPT,SP,GR,CALI,BITSIZE,MSFL,LLD,LLS,RHOB,NPHI,DT,MUDWGT,well_name,DEPTH
130.0,-39.15475,64.1522,14.2323,12.25,6.538,12.9768,6.8306,2.269,49.8023,129.1272,8.9,WA2,130.0
130.5,-40.12318,64.2991,14.0174,12.25,7.9331,16.1483,7.3188,2.2691,48.8713,126.8713,8.9,WA2,130.5
131.0,-40.73792,66.1511,13.8025,12.25,9.1059,17.9759,7.2574,2.2706,48.5015,124.6155,8.9,WA2,131.0
131.5,-41.34986,67.5444,13.6193,12.25,8.4116,18.803,6.9336,2.2882,48.3465,122.3597,8.9,WA2,131.5
132.0,-39.84131,69.2245,13.6506,12.25,6.3,16.205,6.155,2.3216,48.7884,123.2259,8.9,WA2,132.0
132.5,-36.31315,71.246,13.7231,12.25,4.3768,13.3259,5.3617,2.3488,49.5657,125.0181,8.9,WA2,132.5
133.0,-27.89958,73.4839,13.7687,12.25,3.4076,10.7451,4.3895,2.3675,50.5732,126.8103,8.9,WA2,133.0
133.5,-15.23212,75.9802,13.891,12.25,3.2499,9.4802,4.3109,2.372,52.0369,128.6026,8.9,WA2,133.5
134.0,-2.56456,75.8155,14.039,12.25,3.2776,9.0408,4.4198,2.3731,53.2154,130.39481,8.9,WA2,134.0
134.5,0.0,75.7286,14.2576,12.25,3.285,8.7716,4.7354,2.3701,54.3938,130.228,8.9,WA2,134.5
135.0,-0.78779,75.6576,14.5199,12.25,3.4447,9.0542,5.1932,2.3807,55.1139,129.504,8.9,WA2,135.0
135.5,-1.57557,75.7803,14.7397,12.25,3.6567,9.2322,5.578,2.3924,53.1929,128.77991,8.9,WA2,135.5
136.0,-2.36336,75.939,14.9414,12.25,3.9309,9.2009,5.5304,2.3884,53.6606,128.2037,8.9,WA2,136.0
136.5,-3.15115,76.0878,15.0792,12.25,3.2489,8.7295,5.1827,2.3715,54.4023,130.5451,8.9,WA2,136.5
137.0,-3.93894,76.5727,15.2152,12.25,2.8435,8.0616,4.8986,2.3546,55.0686,132.8866,8.9,WA2,137.0
137.5,-4.72672,78.1773,15.4292,12.25,2.7531,7.8255,4.7678,2.3336,55.6587,135.228,8.9,WA2,137.5
138.0,-5.51441,78.2921,15.6491,12.25,2.6581,7.4637,4.8308,2.304,55.3533,137.5694,8.9,WA2,138.0
138.5,-6.3022,78.3966,15.746,12.25,2.4083,8.324,5.1263,2.289,56.2391,139.9108,8.9,WA2,138.5
139.0,-7.08998,76.9056,15.7826,12.25,2.2072,9.0178,5.3717,2.2569,58.4743,140.1449,8.9,WA2,139.0
139.5,-7.87777,75.2879,15.779,12.25,2.2607,9.663,5.6318,2.2487,60.12,140.3297,8.9,WA2,139.5
140.0,-8.66556,75.4201,15.7329,12.25,2.6713,10.2116,5.823,2.2616,60.5932,140.56709,8.9,WA2,140.0
140.5,-9.45335,76.1309,15.7493,12.25,2.9878,10.569,6.0139,2.2497,60.4226,140.7476,8.9,WA2,140.5
141.0,-10.24114,78.469,15.839,12.25,2.9111,10.7328,6.0865,2.2416,59.6146,143.0975,8.9,WA2,141.0
141.5,-11.02893,79.5599,15.9288,12.25,2.8464,10.8992,6.1086,2.2328,58.4172,144.7993,8.9,WA2,141.5
142.0,-11.81672,79.4727,15.8607,12.25,2.809,10.4614,6.1618,2.2147,58.9107,147.00101,8.9,WA2,142.0
