DEPT,SP,GR,CALI,LL8,ILM,ILD,LLD,LLS,RHOB,NPHI,DT,well_name,DEPTH
78.0,,,,,,,,,,,,SB16,78.0
78.5,,,,,,,,,,,,SB16,78.5
79.0,,,,,,,,,,,,SB16,79.0
79.5,,,,,,,,,,,,SB16,79.5
80.0,,,,,,,,,,,,SB16,80.0
80.5,,,,,,,,,,,,SB16,80.5
81.0,,,,,,,,,,,,SB16,81.0
81.5,,,,,,,,,,,,SB16,81.5
82.0,,,,,,,,,,,,SB16,82.0
82.5,,,,,,,,,,,,SB16,82.5
83.0,,,,,,,,,,,,SB16,83.0
83.5,,,,,,,,,,,,SB16,83.5
84.0,,,,,,,,,,,,SB16,84.0
84.5,,,,,,,,,,,,SB16,84.5
85.0,,,,,,,,,,,,SB16,85.0
85.5,,,,,,,,,,,,SB16,85.5
86.0,,,,,,,,,,,,SB16,86.0
86.5,,,,,,,,,,,,SB16,86.5
87.0,,,,,,,,,,,,SB16,87.0
87.5,,,,,,,,,,,,SB16,87.5
88.0,,,,,,,,,,,,SB16,88.0
88.5,,,,,,,,,,,,SB16,88.5
89.0,,,,,,,,,,,,SB16,89.0
89.5,,,,,,,,,,,,SB16,89.5
90.0,,,,,,,,,,,,SB16,90.0
90.5,0.0,,,,,,,,,,,SB16,90.5
91.0,-2.11719,,,6.5719,,,,,,,,SB16,91.0
91.5,-3.03419,,,6.465,,,,,,,150.1628,SB16,91.5
92.0,-3.86918,,,6.3599,,2.8636,,,,,171.55559,SB16,92.0
92.5,-3.85637,,,6.2564,,2.5681,,,,,174.22223,SB16,92.5
93.0,-3.41806,,,6.0532,,2.5761,,,,,176.88892,SB16,93.0
93.5,-2.65975,,,6.1845,,2.7144,,,,,179.55556,SB16,93.5
94.0,-1.61975,,,6.2366,,2.9653,,,,,180.22224,SB16,94.0
94.5,-0.68254,,,5.942,2.9473,2.6831,,,,,180.88887,SB16,94.5
95.0,-0.56783,,,5.5617,2.733,2.4782,,,,,181.55556,SB16,95.0
95.5,-0.57432,,,5.1406,2.5343,2.2134,,,,,182.22224,SB16,95.5
96.0,-0.36102,,,4.7556,2.5143,2.2269,,,,,182.40001,SB16,96.0
96.5,-0.09781,,,4.2346,2.7078,2.6187,,,,,182.57782,SB16,96.5
97.0,0.0,,,4.5395,2.8895,2.6067,,,,,182.75558,SB16,97.0
97.5,-0.36811,,,4.6693,2.9709,2.8668,,,,,182.93338,SB16,97.5
98.0,-1.17782,,,4.8029,3.0456,2.9888,,,,,183.11115,SB16,98.0
98.5,-2.30553,,,4.9403,3.0648,2.9966,,,,,182.6667,SB16,98.5
99.0,-3.40794,,,5.0344,3.0841,2.9935,,,,,182.22224,SB16,99.0
99.5,-4.45375,,,4.9417,3.1036,2.9872,,,,,181.77779,SB16,99.5
100.0,-5.62725,,,4.8507,3.1276,3.2845,,,,,181.33337,SB16,100.0
100.5,-6.80066,,,4.7614,3.1519,3.6867,,,,,180.88892,SB16,100.5
101.0,-7.83837,,,4.6738,3.1763,3.7082,,,,,180.44446,SB16,101.0
101.5,-8.40228,,,4.6357,3.1918,3.7299,,,,,178.37038,SB16,101.5
102.0,-8.69949,,,4.7019,3.1903,3.7499,,,,,176.29633,SB16,102.0
102.5,-9.0008,,,4.769,3.1886,3.7583,,,,,174.22223,SB16,102.5
103.0,-8.99341,,,4.8371,3.1661,3.7667,,,,,162.1205,SB16,103.0
103.5,-8.79952,,,4.8301,3.1437,3.7751,,,,,154.53391,SB16,103.5
104.0,-8.55703,,,4.659,3.1447,3.7836,,,,,151.2863,SB16,104.0
104.5,-8.31744,,,4.479,3.1558,3.787,,,,,151.21291,SB16,104.5
105.0,-8.29375,,16.3133,4.2633,3.1669,3.7605,,,,,153.99159,SB16,105.0
105.5,-8.20396,,16.3187,4.0581,3.1776,3.7325,,,,,158.93159,SB16,105.5
106.0,-7.81186,,16.3111,3.9475,3.1152,3.6882,,,,,165.03571,SB16,106.0
106.5,-7.36687,,16.0045,4.0943,3.054,3.6444,,,,,163.4615,SB16,106.5
107.0,-7.30728,,15.2345,4.1038,2.994,3.5908,,,,,156.621,SB16,107.0
107.5,-7.48809,,14.4644,3.957,2.8782,3.5345,,,,,153.36591,SB16,107.5
108.0,-7.7676,,12.5213,3.8154,2.7752,3.4792,,,,,149.334,SB16,108.0
108.5,-7.70341,,12.3581,3.6788,2.6758,3.4247,,,,,147.1889,SB16,108.5
109.0,-7.93012,,12.1986,3.5472,2.5799,3.3364,,,,,145.0439,SB16,109.0
109.5,-7.86062,,12.2551,3.4203,2.4875,3.1933,,,,,143.94231,SB16,109.5
110.0,-7.79114,,12.3214,3.4035,2.3984,3.0563,,,,,144.73399,SB16,110.0
110.5,-7.72165,,12.2984,3.4199,2.3125,2.9251,,,,,146.9816,SB16,110.5
111.0,-7.65205,,12.3774,3.4365,2.2889,2.8061,,,,,150.26711,SB16,111.0
111.5,-7.58256,,12.7034,3.4531,2.3169,2.8846,,,,,157.9084,SB16,111.5
112.0,-7.46667,,13.5095,3.5184,2.3453,2.9653,,,,,164.4893,SB16,112.0
112.5,-7.16108,,14.1724,3.6173,2.374,3.0483,,,,,167.61659,SB16,112.5
113.0,-6.86079,,14.7175,3.719,2.403,3.1489,,,,,171.0529,SB16,113.0
113.5,-6.6313,,15.2149,3.8475,2.5238,3.3173,,,,,174.9028,SB16,113.5
