DEPT,SP,GR,CALI,LL8,ILM,ILD,LLD,LLS,RHOB,NPHI,DT,well_name,DEPTH
68.0,,,,,,,,,,,,SB17,68.0
68.5,,,,,,,,,,,,SB17,68.5
69.0,,,,,,,,,,,,SB17,69.0
69.5,,,,,,,,,,,,SB17,69.5
70.0,,,,,,,,,,,,SB17,70.0
70.5,,,,,,,,,,,,SB17,70.5
71.0,,,,,,,,,,,,SB17,71.0
71.5,,,,,,,,,,,,SB17,71.5
72.0,,,,,,,,,,,,SB17,72.0
72.5,,,,,,,,,,,,SB17,72.5
73.0,,,,,,,,,,,,SB17,73.0
73.5,,,,,,,,,,,,SB17,73.5
74.0,,,,,,,,,,,,SB17,74.0
74.5,,,,,,,,,,,,SB17,74.5
75.0,,,,,,,,,,,,SB17,75.0
75.5,,,,,,,,,,,,SB17,75.5
76.0,,,,,,,,,,,,SB17,76.0
76.5,,,,,,,,,,,,SB17,76.5
77.0,,,,,,,,,,,,SB17,77.0
77.5,,,,,,,,,,,,SB17,77.5
78.0,,,,,,,,,,,,SB17,78.0
78.5,,,,,,,,,,,,SB17,78.5
79.0,,,,,,,,,,,,SB17,79.0
79.5,,,,,,,,,,,,SB17,79.5
80.0,,,,,,,,,,,,SB17,80.0
80.5,,,,,,,,,,,,SB17,80.5
81.0,,,,,,,,,,,,SB17,81.0
81.5,,,,,,,,,,,,SB17,81.5
82.0,,,,,,,,,,,,SB17,82.0
82.5,,,,,,,,,,,,SB17,82.5
83.0,,,,,,,,,,,,SB17,83.0
83.5,,,,,,,,,,,,SB17,83.5
84.0,,,,,,,,,,,,SB17,84.0
84.5,,,,,,,,,,,,SB17,84.5
85.0,,,,,,,,,,,,SB17,85.0
85.5,,,,,,,,,,,,SB17,85.5
86.0,,,,,,,,,,,,SB17,86.0
86.5,,,,,,,,,,,,SB17,86.5
87.0,,,,,,,,,,,,SB17,87.0
87.5,,,,,,,,,,,,SB17,87.5
88.0,,,,,,,,,,,,SB17,88.0
88.5,,,,,,,,,,,,SB17,88.5
89.0,,,,,,,,,,,,SB17,89.0
89.5,,,,,,,,,,,,SB17,89.5
90.0,,,,,,,,,,,,SB17,90.0
90.5,,,,,,,,,,,,SB17,90.5
91.0,,,,,,,,,,,,SB17,91.0
91.5,,,,,,,,,,,,SB17,91.5
92.0,,,,,,,,,,,,SB17,92.0
92.5,,,,,,,,,,,,SB17,92.5
93.0,,,,,,,,,,,,SB17,93.0
93.5,,,,,,,,,,,,SB17,93.5
94.0,,,,,,,,,,,,SB17,94.0
94.5,,,,,,,,,,,,SB17,94.5
95.0,,,,,,,,,,,,SB17,95.0
95.5,,,,,,,,,,,,SB17,95.5
96.0,,,,,,,,,,,,SB17,96.0
96.5,,,,,,,,,,,,SB17,96.5
97.0,,,,,,,,,,,,SB17,97.0
97.5,,,,,,,,,,,,SB17,97.5
98.0,,60.1252,,,,,,,,,,SB17,98.0
98.5,,63.1992,,,,,,,,,,SB17,98.5
99.0,,65.2374,,,,,,,,,,SB17,99.0
99.5,,67.6391,,,,,,,,,,SB17,99.5
100.0,-50.15119,70.8759,15.5256,10.8,1.1364,1.1423,,,,,,SB17,100.0
100.5,-46.67315,74.4752,15.1784,8.4995,1.43,1.2674,,,,,,SB17,100.5
101.0,-40.0,77.2558,14.9518,7.2406,2.2354,1.9158,,,,,,SB17,101.0
101.5,-34.74646,78.8255,14.7332,9.4903,3.3204,2.8913,,,,,,SB17,101.5
102.0,-34.94901,79.9618,14.3759,15.9958,4.8061,4.4766,,,,,,SB17,102.0
102.5,-38.41647,80.9819,14.1859,18.4367,7.9937,9.7632,,,,,,SB17,102.5
103.0,-40.91722,80.2134,14.2289,10.5366,4.2733,12.3259,,,,,,SB17,103.0
103.5,-42.43388,79.2704,14.5464,6.7957,2.2844,2.3701,,,,,,SB17,103.5
104.0,-43.79593,78.3597,14.6401,6.9637,1.9297,2.49,,,,,,SB17,104.0
104.5,-44.20909,78.8095,14.3962,7.9905,2.068,3.2151,,,,,,SB17,104.5
105.0,-43.16055,78.9033,14.7131,9.3467,2.2489,4.414,,,,,,SB17,105.0
105.5,-41.3607,79.101,15.0738,10.7074,2.5234,6.4262,,,,,,SB17,105.5
106.0,-39.76736,79.4327,15.0575,12.1553,2.7745,10.7281,,,,,,SB17,106.0
106.5,-38.56781,79.0752,14.8551,13.1674,2.9749,9.3367,,,,,,SB17,106.5
107.0,-38.51667,77.593,14.6485,12.0412,3.0505,6.5262,,,,,,SB17,107.0
107.5,-38.86642,75.9175,14.6537,11.4363,2.9209,5.4656,,,,,,SB17,107.5
108.0,-39.18468,74.0015,15.1656,11.4275,2.9977,5.4823,,,,,,SB17,108.0
108.5,-39.41363,72.8543,15.2256,11.6923,3.3348,5.499,,,,,,SB17,108.5
109.0,-38.87319,72.4499,14.9131,12.0725,3.7198,6.0276,,,,,,SB17,109.0
109.5,-38.38665,72.6854,14.4175,12.5848,4.1921,6.895,,,,,,SB17,109.5
110.0,-37.7499,72.5286,13.9642,13.6914,3.9649,7.3922,,,,,,SB17,110.0
110.5,-36.85825,71.3795,14.0034,13.7465,3.6162,7.4125,,,,,,SB17,110.5
111.0,-36.55991,69.5701,14.3021,13.0421,3.6073,7.4329,,,,,,SB17,111.0
111.5,-37.74677,67.7606,14.5177,12.5425,3.6866,7.3275,,,,,,SB17,111.5
112.0,-38.96482,66.0251,13.8631,12.6764,3.8718,6.9164,,,,,,SB17,112.0
112.5,-38.67858,67.5333,13.9017,12.8614,4.065,6.6263,,,,,,SB17,112.5
113.0,-37.20834,71.0722,14.0597,12.6506,4.155,6.6506,,,,,,SB17,113.0
113.5,-35.35249,73.0534,14.3323,12.2774,4.2217,6.8858,,,,,,SB17,113.5
114.0,-33.91914,74.1772,14.6217,12.1782,4.278,6.7813,,,,,,SB17,114.0
114.5,-33.3509,73.5299,14.7638,12.3244,4.5352,6.8894,,,,,,SB17,114.5
115.0,-32.92436,71.5139,14.1248,12.3357,4.7721,7.1515,,,,,,SB17,115.0
115.5,-32.49671,69.7864,14.0004,11.999,4.7966,7.5561,,,,,,SB17,115.5
116.0,-32.30706,69.1793,14.488,11.4964,4.8427,7.8316,,,,,,SB17,116.0
116.5,-32.59502,70.8397,14.5913,11.8146,4.8693,8.0799,,,,,,SB17,116.5
117.0,-32.76508,72.7131,14.5988,12.0439,4.8721,8.1552,,,,,,SB17,117.0
117.5,-32.52044,73.1018,14.6695,12.2044,4.875,8.1027,,,,,,SB17,117.5
118.0,-32.16019,72.5004,14.9403,12.6833,4.8251,7.9468,,,,,,SB17,118.0
118.5,-31.98744,72.614,14.9189,12.5851,4.7418,7.8516,,,,,,SB17,118.5
119.0,-31.8805,74.1817,14.7925,12.6228,4.5233,7.7575,,,,,,SB17,119.0
119.5,-32.26376,76.2196,14.5416,12.768,4.3722,7.6892,,,,,,SB17,119.5
120.0,-33.15701,76.4479,14.4462,12.8985,4.3443,7.6819,,,,,,SB17,120.0
120.5,-34.23157,75.5195,14.293,13.143,4.3165,7.6745,,,,,,SB17,120.5
121.0,-35.23022,73.9414,13.826,13.9689,4.289,7.6672,,,,,,SB17,121.0
121.5,-35.71158,73.1357,13.676,15.116,4.1529,7.6339,,,,,,SB17,121.5
122.0,-36.29413,72.7446,13.6951,15.6048,4.0822,7.5807,,,,,,SB17,122.0
122.5,-36.96689,71.5103,13.9847,15.6597,4.0631,7.5725,,,,,,SB17,122.5
123.0,-36.95444,70.6948,15.008,15.7152,4.0891,7.6404,,,,,,SB17,123.0
