DEPT,SP,GR,CALI,BITSIZE,LL8,ILM,ILD,RHOB,NPHI,DT,MUDWGT,well_name,DEPTH
400.0,,,,17.5,,,,,,,9.7,KG1,400.0
400.5,,,,17.5,,,,,,,9.7,KG1,400.5
401.0,,,,17.5,,,,,,,9.7,KG1,401.0
401.5,,,,17.5,,,,,,,9.7,KG1,401.5
402.0,,,,17.5,,,,,,,9.7,KG1,402.0
402.5,,,,17.5,,,,,,,9.7,KG1,402.5
403.0,,,,17.5,,,,,,,9.7,KG1,403.0
403.5,,,,17.5,,,,,,,9.7,KG1,403.5
404.0,,,,17.5,,,,,,,9.7,KG1,404.0
404.5,,,,17.5,,,,,,,9.7,KG1,404.5
405.0,,,,17.5,,,,,,,9.7,KG1,405.0
405.5,,,,17.5,,,,,,,9.7,KG1,405.5
406.0,,,,17.5,,,,,,,9.7,KG1,406.0
406.5,,,,17.5,,,,,,,9.7,KG1,406.5
407.0,,,,17.5,,,,,,,9.7,KG1,407.0
407.5,,,,17.5,,,,,,,9.7,KG1,407.5
408.0,,,,17.5,,,,,,,9.7,KG1,408.0
408.5,,,,17.5,,,,,,,9.7,KG1,408.5
409.0,,,,17.5,,,,,,,9.7,KG1,409.0
409.5,,,,17.5,,,,,,,9.7,KG1,409.5
410.0,,,,17.5,,,,,,,9.7,KG1,410.0
410.5,,,,17.5,,,,,,,9.7,KG1,410.5
411.0,,,,17.5,,,,,,,9.7,KG1,411.0
411.5,,,,17.5,,,,,,,9.7,KG1,411.5
412.0,,,,17.5,,,,,,,9.7,KG1,412.0
412.5,,,,17.5,,,,,,,9.7,KG1,412.5
413.0,,,,17.5,,,,,,,9.7,KG1,413.0
413.5,,,,17.5,,,,,,,9.7,KG1,413.5
414.0,,,,17.5,,,,,,,9.7,KG1,414.0
414.5,,,,17.5,,,,,,,9.7,KG1,414.5
415.0,,,,17.5,,,,,,,9.7,KG1,415.0
415.5,,,,17.5,,,,,,,9.7,KG1,415.5
416.0,,,,17.5,,,,,,,9.7,KG1,416.0
416.5,,,,17.5,,,,,,,9.7,KG1,416.5
417.0,,,,17.5,,,,,,,9.7,KG1,417.0
417.5,,,,17.5,,,,,,,9.7,KG1,417.5
418.0,,,,17.5,,,,,,,9.7,KG1,418.0
418.5,,,,17.5,,,,,,,9.7,KG1,418.5
419.0,,,,17.5,,,,,,,9.7,KG1,419.0
419.5,,,,17.5,,,,,,,9.7,KG1,419.5
420.0,,,,17.5,,,,,,,9.7,KG1,420.0
420.5,,,,17.5,,,,,,,9.7,KG1,420.5
421.0,,,,17.5,,,,,,,9.7,KG1,421.0
421.5,,,,17.5,,,,,,,9.7,KG1,421.5
422.0,,,,17.5,,,,,,,9.7,KG1,422.0
422.5,,,,17.5,,,,,,,9.7,KG1,422.5
423.0,,,,17.5,,,,,,,9.7,KG1,423.0
423.5,,,,17.5,,,,,,,9.7,KG1,423.5
424.0,,,,17.5,,,,,,,9.7,KG1,424.0
424.5,,,,17.5,,,,,,,9.7,KG1,424.5
425.0,,,,17.5,,,,,,,9.7,KG1,425.0
425.5,,,,17.5,,,,,,,9.7,KG1,425.5
426.0,,,,17.5,,,,,,,9.7,KG1,426.0
