DEPT,SP,GR,CALI,BITSIZE,MSFL,LL8,ILM,ILD,NPHI,RHOB,DT,MUDWGT,well_name,DEPTH
106.5,,,,,,,,,,,,,AW1,106.5
107.0,,,,,,,,,,,,,AW1,107.0
107.5,,,,,,,,,,,,,AW1,107.5
108.0,,,,,,,,,,,,8.7,AW1,108.0
108.5,,,,,,,,,,,,8.7,AW1,108.5
109.0,,,,,,,,,,,,8.7,AW1,109.0
109.5,,,,,,,,,,,,8.7,AW1,109.5
110.0,,,,,,,,,,,,8.7,AW1,110.0
110.5,,,,,,,,,,,,8.7,AW1,110.5
111.0,,,,,,,,,,,,8.7,AW1,111.0
111.5,,,,,,,,,,,,8.7,AW1,111.5
112.0,,,,,,,,,,,,8.7,AW1,112.0
112.5,,,,,,,,,,,,8.7,AW1,112.5
113.0,,,,,,,,,,,,8.7,AW1,113.0
113.5,,,,,,,,,,,,8.7,AW1,113.5
114.0,,,,,,,,,,,,8.7,AW1,114.0
114.5,,,,,,,,,,,,8.7,AW1,114.5
115.0,,,,,,,,,,,,8.7,AW1,115.0
115.5,,,,,,,,,,,,8.7,AW1,115.5
116.0,-43.85513,,16.9148,17.5,,,,,,1.9995,,8.7,AW1,116.0
116.5,-48.63065,,16.9181,17.5,,,,,,1.9995,,8.7,AW1,116.5
117.0,-50.68695,,16.9175,17.5,,,,,,1.9995,,8.7,AW1,117.0
117.5,-51.47714,,16.9148,17.5,,,,,,1.9995,,8.7,AW1,117.5
118.0,-52.57184,,16.912,17.5,,,,,,1.9995,,8.7,AW1,118.0
118.5,-53.78506,,16.9092,17.5,,,,,,1.9996,,8.7,AW1,118.5
119.0,-54.26675,,16.9065,17.5,,,,,,1.9996,,8.7,AW1,119.0
119.5,-54.93655,65.7927,16.9037,17.5,,,,,,1.9996,,8.7,AW1,119.5
120.0,-55.56387,72.1131,16.9009,17.5,,,,,53.9781,2.0574,,8.7,AW1,120.0
120.5,-56.42087,75.0146,16.8982,17.5,,,,,52.3241,2.1514,,8.7,AW1,120.5
121.0,-57.21475,75.7581,16.8954,17.5,,,,,50.5196,2.3036,,8.7,AW1,121.0
121.5,-58.55566,75.9941,16.8926,17.5,,,,,48.4143,2.3251,,8.7,AW1,121.5
122.0,-59.30658,75.1265,16.8899,17.5,,,,,46.2065,2.3594,,8.7,AW1,122.0
122.5,-59.94507,74.1913,16.8871,17.5,,,,,43.3297,2.443,,8.7,AW1,122.5
123.0,-60.72928,74.6085,16.8843,17.5,,,,,40.5266,2.4684,,8.7,AW1,123.0
123.5,-61.80099,73.8862,16.8816,17.5,,,,,39.369,2.4716,,8.7,AW1,123.5
124.0,-62.4892,72.6605,16.8788,17.5,109.2503,,,,39.9786,2.4689,,8.7,AW1,124.0
124.5,-63.13919,72.6584,16.876,17.5,117.721,,28.6068,,41.0603,2.454,,8.7,AW1,124.5
125.0,-63.7807,71.0092,16.8733,17.5,121.8163,,23.6464,,42.8819,2.4153,,8.7,AW1,125.0
125.5,-64.3064,68.2174,16.8705,17.5,124.0761,,22.8328,,44.192,2.3988,,8.7,AW1,125.5
126.0,-65.00601,67.7665,16.8677,17.5,123.6072,,22.6757,,45.3681,2.3713,,8.7,AW1,126.0
126.5,-66.38321,68.2074,16.865,17.5,124.3021,,22.5904,39.9083,46.3139,2.3515,,8.7,AW1,126.5
127.0,-67.22751,68.9101,16.8622,17.5,125.3521,,22.3783,40.8774,47.2957,2.308,,8.7,AW1,127.0
127.5,-67.66049,69.6543,16.8595,17.5,122.7728,,21.8849,47.3783,49.465,2.2958,,8.7,AW1,127.5
128.0,-68.44232,70.3535,16.8567,17.5,117.9945,,21.3238,52.1036,49.8811,2.3263,,8.7,AW1,128.0
128.5,-69.47531,71.0526,16.8539,17.5,113.7226,,20.891,51.496,49.2365,2.3314,,8.7,AW1,128.5
129.0,-70.1972,70.9741,16.8512,17.5,110.1066,,20.5877,50.1759,48.2482,2.3247,,8.7,AW1,129.0
129.5,-71.29742,70.1087,16.8495,17.5,108.15,,20.4387,49.3565,47.4887,2.3517,,8.7,AW1,129.5
130.0,-73.49292,69.6721,16.8487,17.5,102.5946,,20.3795,48.7803,46.3563,2.3679,,8.7,AW1,130.0
130.5,-76.10373,70.0538,16.8478,17.5,100.6581,,20.3858,48.8479,44.5576,2.3589,,8.7,AW1,130.5
131.0,-78.54434,70.6686,16.847,17.5,99.2785,,20.6168,48.9157,44.1751,2.3528,,8.7,AW1,131.0
131.5,-82.92953,70.4461,16.8461,17.5,102.1002,,21.2441,48.7452,44.0783,2.3373,,8.7,AW1,131.5
132.0,-84.36212,69.7943,16.8453,17.5,105.4727,,21.4709,48.5207,44.089,2.3191,,8.7,AW1,132.0
132.5,-85.23914,69.5574,16.8444,17.5,104.064,,21.4949,48.2973,44.2447,2.2833,,8.7,AW1,132.5
133.0,-86.11624,69.76,16.8436,17.5,100.6461,,21.175,46.6358,44.3981,2.2376,,8.7,AW1,133.0
133.5,-87.33875,69.5779,16.8427,17.5,96.9306,,20.7008,46.8488,45.8616,2.1581,,8.7,AW1,133.5
134.0,-87.40845,69.3999,16.8419,17.5,92.4633,,20.452,48.0804,47.6973,2.1437,,8.7,AW1,134.0
134.5,-87.37024,69.5778,16.841,17.5,86.7685,,20.3161,49.2814,47.6031,2.1463,,8.7,AW1,134.5
135.0,-87.73996,70.246,16.8402,17.5,79.9494,,20.8708,50.9418,47.4814,2.1332,,8.7,AW1,135.0
135.5,-88.22037,71.8112,16.8393,17.5,76.1761,,22.3033,52.3853,47.2451,2.1678,,8.7,AW1,135.5
136.0,-88.58044,72.7556,16.8385,17.5,78.4965,,24.065,52.8612,47.0088,2.2276,,8.7,AW1,136.0
136.5,-88.93536,72.5737,16.8376,17.5,82.5631,,25.3717,53.7266,46.659,2.2682,,8.7,AW1,136.5
137.0,-89.21027,70.5296,16.8368,17.5,86.7947,,25.6863,56.4174,46.0957,2.2606,,8.7,AW1,137.0
137.5,-89.47076,68.5826,16.8359,17.5,87.2007,,25.9639,59.6162,45.0179,2.2811,,8.7,AW1,137.5
138.0,-89.73657,68.0145,16.8351,17.5,86.9107,,26.568,63.5102,44.5498,2.318,,8.7,AW1,138.0
138.5,-89.97977,68.1041,16.8342,17.5,83.8944,,26.8554,68.4176,43.8351,2.3534,,8.7,AW1,138.5
139.0,-90.11026,67.2915,16.8334,17.5,78.7881,,26.4255,63.4986,42.6777,2.3684,,8.7,AW1,139.0
139.5,-90.25537,66.2087,16.8334,17.5,76.1694,,26.1374,61.093,43.0914,2.3386,,8.7,AW1,139.5
140.0,-90.52838,67.002,16.8336,17.5,72.4703,,25.8318,58.7668,44.2629,2.3066,,8.7,AW1,140.0
140.5,-90.77158,69.6977,16.8339,17.5,75.8904,,25.3491,55.7833,46.2217,2.3002,,8.7,AW1,140.5
141.0,-91.07428,73.3649,16.8341,17.5,78.8457,,24.7263,52.6995,45.852,2.3097,,8.7,AW1,141.0
141.5,-92.06299,75.7048,16.8343,17.5,77.8494,,24.4246,52.7947,42.3415,2.3183,,8.7,AW1,141.5
142.0,-93.1301,76.1243,16.8345,17.5,75.3291,,24.9004,53.801,39.0493,2.3212,,8.7,AW1,142.0
142.5,-94.2919,75.5327,16.8348,17.5,74.8079,,25.7455,54.6305,36.8377,2.3169,,8.7,AW1,142.5
143.0,-95.4359,75.4186,16.835,17.5,76.7749,,26.4337,55.5751,36.299,2.3144,,8.7,AW1,143.0
143.5,-96.9897,76.0683,16.8403,17.5,80.5539,,26.8113,57.2165,36.6846,2.3162,,8.7,AW1,143.5
144.0,-98.1884,75.3024,16.8482,17.5,83.5738,,26.6741,59.3646,37.0024,2.316,,8.7,AW1,144.0
144.5,-99.3755,73.8119,16.852,17.5,85.8681,,26.686,61.5934,36.8674,2.3396,,8.7,AW1,144.5
145.0,-100.85622,74.5633,16.8479,17.5,88.5487,,26.7914,63.6473,36.3865,2.3545,,8.7,AW1,145.0
145.5,-101.89772,76.4505,16.8439,17.5,90.7906,,26.3362,62.8397,36.469,2.3569,,8.7,AW1,145.5
146.0,-102.86412,77.933,16.8398,17.5,91.7974,,25.3356,59.0782,36.5075,2.3532,,8.7,AW1,146.0
146.5,-103.84212,77.6549,16.8357,17.5,90.5969,,24.1702,55.5343,36.4128,2.3301,,8.7,AW1,146.5
147.0,-104.62772,77.4968,16.8464,17.5,86.178,,22.8175,52.8467,36.6994,2.3167,,8.7,AW1,147.0
147.5,-105.06822,77.8409,16.9574,17.5,77.4425,,21.4134,51.9657,36.6163,2.3254,,8.7,AW1,147.5
148.0,-105.69102,78.0537,16.8257,17.5,70.0094,,21.2574,51.0993,36.6479,2.3473,,8.7,AW1,148.0
148.5,-106.26173,77.8494,17.12,17.5,65.2201,,21.5806,50.4866,36.9751,2.3808,,8.7,AW1,148.5
149.0,-106.32314,77.5287,16.9605,17.5,65.8594,,22.5164,49.8788,36.5762,2.413,,8.7,AW1,149.0
149.5,-106.29054,76.4266,16.7792,17.5,68.4256,,23.1041,49.1179,35.2551,2.4248,,8.7,AW1,149.5
150.0,-106.09544,74.8015,16.7975,17.5,71.7408,,23.7203,49.1761,35.1818,2.4038,,8.7,AW1,150.0
150.5,-105.90034,72.7858,16.8172,17.5,72.9769,,24.3618,52.3593,35.4106,2.3917,108.8741,8.7,AW1,150.5
151.0,-105.70525,70.5722,16.8175,17.5,71.987,,24.8616,55.7721,36.4806,2.3416,110.44,8.7,AW1,151.0
151.5,-105.61095,69.4237,16.8177,17.5,71.9918,,25.2651,58.6479,38.7522,2.2454,118.3442,8.7,AW1,151.5
152.0,-105.46375,68.9397,16.818,17.5,70.6114,,25.113,59.5547,42.4656,2.1599,132.4072,8.7,AW1,152.0
152.5,-105.31596,69.4915,16.8183,17.5,65.869,,24.7417,59.8904,46.7004,2.0683,114.0219,8.7,AW1,152.5
153.0,-105.10506,71.4624,16.8186,17.5,60.8295,,24.7847,59.8647,49.4232,1.9892,109.0121,8.7,AW1,153.0
153.5,-104.19507,73.5979,16.8189,17.5,59.4191,,25.1097,58.9354,50.5965,2.0725,108.7191,8.7,AW1,153.5
154.0,-103.95168,75.4455,16.8191,17.5,58.694,,25.2554,58.0206,48.3569,2.2529,110.4419,8.7,AW1,154.0
154.5,-103.60558,76.1829,16.8194,17.5,58.0013,,25.1934,57.1199,44.1955,2.2896,106.0861,8.7,AW1,154.5
155.0,-103.08318,75.9282,16.8197,17.5,57.8298,,25.2045,56.2332,41.9578,2.3106,109.4957,8.7,AW1,155.0
155.5,-102.87468,74.6288,16.82,17.5,57.9488,,25.4409,57.1017,40.5004,2.2955,111.8916,8.7,AW1,155.5
156.0,-102.71298,73.7297,16.8203,17.5,58.2806,,25.7745,57.9847,38.9954,2.2938,113.3582,8.7,AW1,156.0
156.5,-102.63918,73.4556,16.8205,17.5,59.7051,,26.0623,58.6011,37.8324,2.2996,112.8753,8.7,AW1,156.5
157.0,-102.39888,73.5113,16.8208,17.5,63.1427,,26.4301,58.0867,37.3045,2.2941,107.6257,8.7,AW1,157.0
157.5,-102.03128,74.0165,16.8211,17.5,65.8906,,26.4722,57.5768,36.9099,2.3037,111.3167,8.7,AW1,157.5
158.0,-101.66359,76.1825,16.8214,17.5,67.0364,,25.6819,55.5756,37.9139,2.27,124.9737,8.7,AW1,158.0
158.5,-101.29599,78.5113,16.8217,17.5,67.2031,,24.871,53.7646,39.4785,2.2485,115.9097,8.7,AW1,158.5
159.0,-100.92841,79.515,16.8219,17.5,65.4787,,24.3235,52.9082,39.7082,2.3222,107.6807,8.7,AW1,159.0
159.5,-100.6358,80.218,16.8222,17.5,62.5976,,23.9782,52.2377,38.5229,2.3626,108.0174,8.7,AW1,159.5
160.0,-100.2084,80.6745,16.8225,17.5,60.3891,,24.0225,51.8176,37.5357,2.3625,138.3378,8.7,AW1,160.0
160.5,-99.5341,80.0363,16.8228,17.5,59.888,,24.2403,50.9855,36.8949,2.3615,138.2541,8.7,AW1,160.5
161.0,-98.70021,78.1946,16.8231,17.5,60.7301,,24.4212,50.598,36.3282,2.3821,134.032,8.7,AW1,161.0
161.5,-97.5834,78.1201,16.8233,17.5,60.8964,,24.2666,51.3917,36.5241,2.3722,132.2924,8.7,AW1,161.5
162.0,-96.45992,77.8776,16.8236,17.5,62.1129,,24.7262,52.6231,37.0841,2.3775,129.99699,8.7,AW1,162.0
162.5,-95.31642,77.5631,16.8239,17.5,64.3241,,25.6899,53.9225,37.6113,2.4075,122.8161,8.7,AW1,162.5
163.0,-94.44223,78.1683,16.8242,17.5,66.0418,,26.4725,54.2029,36.8288,2.4222,115.6742,8.7,AW1,163.0
163.5,-93.69983,77.6201,16.8245,17.5,67.5435,,26.9292,53.6675,37.3498,2.4205,113.8273,8.7,AW1,163.5
164.0,-92.73892,76.6661,16.8247,17.5,69.0592,,27.009,53.1375,38.0357,2.3948,112.2659,8.7,AW1,164.0
164.5,-91.92822,76.8345,16.825,17.5,70.6088,,26.901,52.6127,39.0832,2.378,98.7895,8.7,AW1,164.5
165.0,-91.11765,77.1952,16.8253,17.5,72.0374,,26.6217,52.0931,38.7843,2.3934,98.0725,8.7,AW1,165.0
165.5,-90.30704,76.1481,16.8256,17.5,72.1744,,26.2549,51.5915,38.4225,2.408,93.2184,8.7,AW1,165.5
166.0,-89.49634,76.3701,16.8259,17.5,70.7861,,25.8971,51.8709,38.8975,2.3926,94.7243,8.7,AW1,166.0
